"county_origin","county_destination","n_scaled_visits_county"
"Franklin County","Jefferson County",3784.29036685063
"Franklin County","King County",906661.915383477
"Franklin County","Kitsap County",15755.2737137599
"Franklin County","Kittitas County",165072.244163609
"Franklin County","Klickitat County",14972.4587569171
"Franklin County","Lewis County",25377.5795004074
"Franklin County","Lincoln County",16304.6348768553
"Franklin County","Mason County",1924.89825412797
"Franklin County","Okanogan County",22239.4537799506
"Franklin County","Pacific County",9913.55366732784
"Franklin County","Pend Oreille County",623.820812429926
"Franklin County","Pierce County",111954.23017732
"Franklin County","San Juan County",3765.18681621657
"Franklin County","Skagit County",12358.5902341052
"Franklin County","Skamania County",2315.30412293179
"Franklin County","Snohomish County",74748.6074804947
"Franklin County","Spokane County",545096.029158572
"Franklin County","Stevens County",9857.33950451023
"Franklin County","Thurston County",22959.8619940817
"Franklin County","Wahkiakum County",108.8
"Franklin County","Walla Walla County",353624.614028207
"Franklin County","Whatcom County",14586.703653251
"Franklin County","Whitman County",43963.5228614929
"Franklin County","Yakima County",677387.651345615
"Garfield County","Adams County",2207.18966187344
"Garfield County","Asotin County",156293.944336873
"Garfield County","Benton County",7607.23536391899
"Garfield County","Chelan County",347.538614922386
"Garfield County","Clark County",945.752320638987
"Garfield County","Columbia County",15279.2126115165
"Garfield County","Franklin County",3515.83366175889
"Garfield County","Garfield County",178262.950626992
"Garfield County","Grant County",375.986535224814
"Garfield County","Grays Harbor County",189.494810659187
"Garfield County","Island County",411.609272019473
"Garfield County","King County",14630.4478211727
"Garfield County","Kittitas County",568.733016441797
"Garfield County","Lewis County",554.777884698534
"Garfield County","Lincoln County",120.739514348786
"Garfield County","Mason County",122.678915939366
"Garfield County","Okanogan County",443.84396505616
"Garfield County","Pacific County",98.7736263736264
"Garfield County","Pierce County",916.474524446834
"Garfield County","Snohomish County",100.940295300365
"Garfield County","Spokane County",49375.9376725749
"Garfield County","Stevens County",242.136571345586
"Garfield County","Thurston County",859.555558932022
"Garfield County","Walla Walla County",18760.7655548338
"Garfield County","Whatcom County",258.735123118235
"Garfield County","Whitman County",17656.9067006059
"Garfield County","Yakima County",1908.16072830584
"Grant County","Adams County",758043.471100223
"Grant County","Asotin County",7733.93384288311
"Grant County","Benton County",1108114.08555514
"Grant County","Chelan County",1457924.29706259
"Grant County","Clallam County",21693.7019589795
"Grant County","Clark County",34946.4000724188
"Grant County","Columbia County",1603.23947380538
"Grant County","Cowlitz County",11140.2187722957
"Grant County","Douglas County",1219714.17947098
"Grant County","Ferry County",16492.9518053761
"Grant County","Franklin County",423394.736429289
"Grant County","Garfield County",687.422192112238
"Grant County","Grant County",32554455.5093535
"Grant County","Grays Harbor County",33778.7444078667
"Grant County","Island County",11629.2056358818
"Grant County","Jefferson County",4498.98947708153
"Grant County","King County",1260182.90434152
"Grant County","Kitsap County",21705.0361971368
"Grant County","Kittitas County",450003.93762228
"Grant County","Klickitat County",15189.4034020963
"Grant County","Lewis County",29145.0535971148
"Grant County","Lincoln County",79308.5183266515
"Grant County","Mason County",7371.10265204246
"Grant County","Okanogan County",238700.693584479
"Grant County","Pacific County",10309.65128856
"Grant County","Pend Oreille County",5418.62607355904
"Grant County","Pierce County",218558.99747354
"Grant County","San Juan County",3949.44368275179
"Grant County","Skagit County",49149.9321122261
"Grant County","Skamania County",680.87368294276
"Grant County","Snohomish County",232324.075698583
"Grant County","Spokane County",1495921.66267275
"Grant County","Stevens County",27352.2781918078
"Grant County","Thurston County",52953.3828118327
"Grant County","Wahkiakum County",107.497005988024
"Grant County","Walla Walla County",61859.8329844573
"Grant County","Whatcom County",43666.9727647095
"Grant County","Whitman County",47815.3895769431
"Grant County","Yakima County",725786.529410169
"Grays Harbor County","Adams County",10047.0651319451
"Grays Harbor County","Asotin County",2318.95203239454
"Grays Harbor County","Benton County",41942.4141723178
"Grays Harbor County","Chelan County",73164.8391367669
"Grays Harbor County","Clallam County",100159.225051506
"Grays Harbor County","Clark County",106518.688362103
"Grays Harbor County","Columbia County",113.857142857143
"Grays Harbor County","Cowlitz County",132518.535553417
"Grays Harbor County","Douglas County",9739.80865664662
"Grays Harbor County","Ferry County",3454.14832296255
"Grays Harbor County","Franklin County",12575.1690259302
"Grays Harbor County","Garfield County",103.488372093023
"Grays Harbor County","Grant County",39610.0497490204
"Grays Harbor County","Grays Harbor County",22590411.5491153
"Grays Harbor County","Island County",12018.7627889887
"Grays Harbor County","Jefferson County",37810.9445582706
"Grays Harbor County","King County",1460077.19916441
"Grays Harbor County","Kitsap County",107306.76168346
"Grays Harbor County","Kittitas County",90153.0184258225
"Grays Harbor County","Klickitat County",3866.50416823633
"Grays Harbor County","Lewis County",669846.2471855
"Grays Harbor County","Lincoln County",3683.19184803381
"Grays Harbor County","Mason County",673865.174226421
"Grays Harbor County","Okanogan County",20163.9560165814
"Grays Harbor County","Pacific County",292973.321485987
"Grays Harbor County","Pend Oreille County",966.292387010839
"Grays Harbor County","Pierce County",922181.760028286
"Grays Harbor County","San Juan County",2171.97373331003
"Grays Harbor County","Skagit County",31456.9047277674
"Grays Harbor County","Skamania County",1718.09475235229
"Grays Harbor County","Snohomish County",168401.893772614
"Grays Harbor County","Spokane County",86178.6567582141
"Grays Harbor County","Stevens County",11883.6030088544
"Grays Harbor County","Thurston County",6754487.46120594
"Grays Harbor County","Wahkiakum County",2145.19585389676
"Grays Harbor County","Walla Walla County",9543.58650750841
"Grays Harbor County","Whatcom County",59478.5857316579
"Grays Harbor County","Whitman County",15497.9122661984
"Grays Harbor County","Yakima County",80786.3847971005
"Island County","Adams County",5726.88632659951
"Island County","Asotin County",1693.25702223742
"Island County","Benton County",19107.3064684249
"Island County","Chelan County",86842.4676621671
"Island County","Clallam County",39254.6707386638
"Island County","Clark County",33796.6917583149
"Island County","Cowlitz County",17709.6073650422
"Island County","Douglas County",9842.46580973774
"Island County","Ferry County",2199.16846037234
"Island County","Franklin County",5781.48908797613
"Island County","Grant County",37896.7700823819
"Island County","Grays Harbor County",24815.3032613337
"Island County","Island County",19917009.5189091
"Island County","Jefferson County",100869.175180604
"Island County","King County",1712557.20844574
"Island County","Kitsap County",68387.1126920184
"Island County","Kittitas County",65833.8509679268
"Island County","Klickitat County",1147.21902477797
"Island County","Lewis County",22320.2895828212
"Island County","Lincoln County",3188.03055404788
"Island County","Mason County",9983.80585698585
"Island County","Okanogan County",25925.5631555736
"Island County","Pacific County",8037.73349966783
"Island County","Pend Oreille County",396.858973200942
"Island County","Pierce County",125405.577110446
"Island County","San Juan County",47435.5121453968
"Island County","Skagit County",4312451.78047304
"Island County","Skamania County",519.511592396229
"Island County","Snohomish County",5961992.602686
"Island County","Spokane County",68595.8817246036
"Island County","Stevens County",10074.1779754804
"Island County","Thurston County",49653.4797559655
"Island County","Wahkiakum County",307.052996653483
"Island County","Walla Walla County",7034.99484384004
"Island County","Whatcom County",659029.077000175
"Island County","Whitman County",15711.1399876242
"Island County","Yakima County",31541.8380336692
"Jefferson County","Adams County",1414.12729411993
"Jefferson County","Asotin County",2055.06468812049
"Jefferson County","Benton County",7496.56808253247
"Jefferson County","Chelan County",15544.1772123731
"Jefferson County","Clallam County",804668.984308579
"Jefferson County","Clark County",16772.9202113963
"Jefferson County","Cowlitz County",9872.35707455725
"Jefferson County","Douglas County",2198.32527120114
"Jefferson County","Ferry County",1847.72193212063
"Jefferson County","Franklin County",980.005967122057
"Jefferson County","Garfield County",183.505154639175
"Jefferson County","Grant County",4318.67310742265
"Jefferson County","Grays Harbor County",32503.4402723868
"Jefferson County","Island County",37172.0969731545
"Jefferson County","Jefferson County",4574263.62866376
"Jefferson County","King County",440223.852670105
"Jefferson County","Kitsap County",1665199.98135932
"Jefferson County","Kittitas County",16989.3902143443
"Jefferson County","Klickitat County",366.621253405995
"Jefferson County","Lewis County",15257.778547602
"Jefferson County","Lincoln County",210.44311778291
"Jefferson County","Mason County",69176.4145395902
"Jefferson County","Okanogan County",4507.34709383678
"Jefferson County","Pacific County",3136.56878769419
"Jefferson County","Pend Oreille County",103.577358490566
"Jefferson County","Pierce County",133424.02965216
"Jefferson County","San Juan County",4380.05081500975
"Jefferson County","Skagit County",20807.944709716
"Jefferson County","Skamania County",219.073028058659
"Jefferson County","Snohomish County",96757.7238199462
"Jefferson County","Spokane County",12828.2241748328
"Jefferson County","Stevens County",603.142818324001
"Jefferson County","Thurston County",55703.3311099177
"Jefferson County","Wahkiakum County",212.589473684211
"Jefferson County","Walla Walla County",1504.97871903823
"Jefferson County","Whatcom County",24472.4485411184
"Jefferson County","Whitman County",12792.2959854134
"Jefferson County","Yakima County",15515.6455918795
"King County","Adams County",172608.826091527
"King County","Asotin County",38219.8685842306
"King County","Benton County",734912.695336813
"King County","Chelan County",2147616.04912717
"King County","Clallam County",789223.868937831
"King County","Clark County",1240556.07383724
"King County","Columbia County",4680.67090509054
"King County","Cowlitz County",532416.824126207
"King County","Douglas County",204115.863281843
"King County","Ferry County",22463.3398580905
"King County","Franklin County",270017.243952884
"King County","Garfield County",3197.73207761429
"King County","Grant County",845223.305417249
"King County","Grays Harbor County",994056.235898614
"King County","Island County",880641.651748839
"King County","Jefferson County",365659.323653683
"King County","King County",685535020.417297
"King County","Kitsap County",2327942.63454682
"King County","Kittitas County",2667734.85866966
"King County","Klickitat County",53220.5654916995
"King County","Lewis County",873207.041944219
"King County","Lincoln County",40811.853241492
"King County","Mason County",421668.822572869
"King County","Okanogan County",251721.296459339
"King County","Pacific County",224548.348435334
"King County","Pend Oreille County",11237.9419608622
"King County","Pierce County",27682897.818577
"King County","San Juan County",490940.635137983
"King County","Skagit County",1590592.43123483
"King County","Skamania County",16955.9201761868
"King County","Snohomish County",28259368.1625603
"King County","Spokane County",2146814.10453192
"King County","Stevens County",53030.5484944976
"King County","Thurston County",2326190.18908405
"King County","Wahkiakum County",8851.9447299524
"King County","Walla Walla County",289982.3230379
"King County","Whatcom County",2356022.58884301
"King County","Whitman County",783026.519255915
"King County","Yakima County",1232916.32998162
"Kitsap County","Adams County",25186.2552530046
"Kitsap County","Asotin County",6276.15065819439
