year,county,fips,county_fips,POPESTIMATE2020,POPPCT_RUR,prop_state,mean_weekly_total,prop_county,prop_SG,bias
2020,Kittitas County,53037,037,47097,42.79,0.00626918062180655,1797.173076923077,0.03815897141905167,0.00582823978307772,-0.04409408387288283
2020,Klickitat County,53039,039,22055,79.71,0.00293578738802776,691.9423076923077,0.03137348935353923,0.00224716398799654,-0.06886234000312208
2020,Lewis County,53041,041,79430,60.18,0.01057309418413263,3409.153846153846,0.04292022971363271,0.01107311768250332,0.05000234983706897
2020,Lincoln County,53043,043,10732,100,0.00142855906816204,461.71153846153845,0.04302194730353508,0.00150144404784434,0.0072884979682295
2020,Mason County,53045,045,65326,69.5,0.00869568111132631,2570.6346153846152,0.03935086512850343,0.00834257252261634,-0.03531085887099672
2020,Okanogan County,53047,047,42080,80.61,0.00560135721098201,1082,0.02571292775665399,0.0035138287584452,-0.20875284525368132
2020,Pacific County,53049,049,22121,62.92,0.00294457278669517,878.0961538461538,0.03969513827793291,0.00286590504435888,-0.00786677423362952
2020,Pend Oreille County,53051,051,13588,100,0.00180872722867926,570.5576923076923,0.04198982133556758,0.00185853589390093,0.00498086652216692
2020,Pierce County,53053,053,891862,6.78,0.11871762464117969,41898.82692307692,0.0469790471206049,0.1359103549146164,1.7192730273436698
2020,San Juan County,53055,055,16953,80.09,0.00225664944861639,393.9807692307692,0.02323958999768591,0.00128053290012079,-0.09761165484956058
2020,Skagit County,53057,057,127442,34.1,0.0169640723783738,4831.038461538462,0.03790774204374116,0.01568084136938004,-0.12832310089937682
2020,Skamania County,53059,059,11906,100,0.00158483267476121,495.7307692307692,0.041637054361731,0.00160555236883059,0.00207196940693862
2020,Snohomish County,53061,061,811572,11.8,0.10803005405016862,34702.942307692305,0.0427601522818583,0.1124291218754806,0.43990678253119775
2020,Spokane County,53063,063,513402,14.63,0.06834001888860713,24435.71153846154,0.04759566877118035,0.0792680030416128,1.0927984153005657
2020,Stevens County,53065,065,45233,89.11,0.0060210596655026,1530.8846153846157,0.0338444192378267,0.00498223698051229,-0.10388226849903044
2020,Thurston County,53067,067,284698,21.34,0.0378967489366007,12566.192307692309,0.04413867434155599,0.04077213079591482,0.2875381859314121
2020,Wahkiakum County,53069,069,4318,100,5.747780522105594e-4,174.03846153846155,0.04030534079167705,5.656139921775531e-4,-9.164060033006322e-4
2020,Walla Walla County,53071,071,60785,20.25,0.00809121906058796,2178.9615384615386,0.03584702703728779,0.00706375921302669,-0.10274598475612771
2020,Whatcom County,53073,073,224538,28.59,0.02988872493915113,7476.2692307692305,0.0332962315098969,0.02421345893181898,-0.5675266007332147
2020,Whitman County,53075,075,49577,31.86,0.00659929863233971,1703.423076923077,0.03435913986169145,0.00548904678140153,-0.11102518509381876
2020,Yakima County,53077,077,250649,30.43,0.03336441500892184,7887.711538461538,0.03146915223464501,0.02559244157365053,-0.7771973435271304
2021,Adams County,53001,001,19702,47.29,0.00262257461432432,671.8653846153846,0.03410137978963479,0.00234885334516852,-0.02737212691558041
2021,Asotin County,53003,003,22636,7.26,0.00301312551872121,960.7884615384615,0.04244515203827803,0.00336048414573523,0.03473586270140177
2021,Benton County,53005,005,200715,12.14,0.02671759535651747,8165.134615384615,0.04068024121458094,0.02859468912438913,0.1877093767871667
2021,Chelan County,53007,007,76653,33.63,0.01020344187959611,2626.9423076923076,0.03427057398526225,0.00919851673741933,-0.10049251421767802
2021,Clallam County,53009,009,76482,36.09,0.01018067971032144,2415.769230769231,0.03158611478216091,0.00845581930127015,-0.17248604090512942
2021,Clark County,53011,011,481950,13.48,0.06415337708728094,21658.67307692308,0.04493966817496229,0.07585450772970005,1.170113064241911
2021,Columbia County,53013,013,4024,100,5.356430945102573e-4,131.82692307692307,0.03276016975072641,4.61111720552509e-4,-0.00745313739577483
2021,Cowlitz County,53015,015,108399,32.98,0.01442921863862261,4590.134615384615,0.04234480590581661,0.01607382441414609,0.16446057755234844
2021,Douglas County,53017,017,42520,25.38,0.00565992653543144,1518.3653846153843,0.03570943990158477,0.0053187097333034,-0.03412168021280404
2021,Ferry County,53019,019,7643,100,0.00101737578810683,170.69230769230768,0.0223331555269276,5.965051552228341e-4,-0.04208706328839989
2021,Franklin County,53021,021,93681,11.45,0.01247007473578911,3739.346153846154,0.03991573695675915,0.01308614177933857,0.06160670435494575
2021,Garfield County,53023,023,2258,100,3.0056712410640187e-4,80.48076923076923,0.0356425018736799,2.811607535886463e-4,-0.00194063705177555
2021,Grant County,53025,025,96648,44.87,0.01286501833951971,3764.057692307693,0.03894604846771472,0.01317623764873977,0.03112193092200521
2021,Grays Harbor County,53027,027,73769,39.11,0.00981954658025029,3225.423076923077,0.04372328589140529,0.01129622022441931,0.14766736441690276
2021,Island County,53029,029,84187,47.78,0.0112063084486916,2839.5,0.0337284853956074,0.00994674471917299,-0.12595637295186146
2021,Jefferson County,53031,031,31825,53.26,0.00423629261500719,826.7692307692307,0.02597860897939452,0.00289525055932668,-0.13410420556805097
2021,King County,53033,033,2225064,3.29,0.2961829439471598,79962.30769230769,0.03593708212092222,0.28002606591407553,-1.615687803308429
2021,Kitsap County,53035,035,268945,17.57,0.03579983400921002,10060.153846153846,0.03740598950028387,0.03521625500680188,-0.05835790024081433
2021,Kittitas County,53037,037,47097,42.79,0.00626918062180655,1603.25,0.03404144637662696,0.00561397433635107,-0.06552062854554785
2021,Klickitat County,53039,039,22055,79.71,0.00293578738802776,690.2692307692307,0.03129763005074725,0.00241469743131229,-0.05210899567154728
2021,Lewis County,53041,041,79430,60.18,0.01057309418413263,3375.3846153846152,0.04249508517417368,0.01181617740683993,0.1243083222707293
2021,Lincoln County,53043,043,10732,100,0.00142855906816204,424.40384615384613,0.03954564351042174,0.00148756582729086,0.00590067591288207
2021,Mason County,53045,045,65326,69.5,0.00869568111132631,2421.173076923077,0.03706293171054522,0.00847031858853997,-0.0225362522786332
2021,Okanogan County,53047,047,42080,80.61,0.00560135721098201,1072.0192307692307,0.02547574217607487,0.00375317186315221,-0.18481853478298
2021,Pacific County,53049,049,22121,62.92,0.00294457278669517,857.6923076923077,0.03877276378519541,0.00300139043255368,0.0056817645858504
2021,Pend Oreille County,53051,051,13588,100,0.00180872722867926,507.6923076923077,0.03736328434591608,0.00177660068624081,-0.0032126542438455
2021,Pierce County,53053,053,891862,6.78,0.11871762464117969,37251.67307692308,0.04176842726444571,0.13050301106265916,1.1785386421479451
