"county_origin","county_destination","n_scaled_visits_county"
"Clark County","Douglas County",6616.24409960063
"Clark County","Ferry County",556.683333333333
"Clark County","Franklin County",25281.15385408
"Clark County","Garfield County",112.658227848101
"Clark County","Grant County",22300.0152937235
"Clark County","Grays Harbor County",48502.323118903
"Clark County","Island County",9360.11839584148
"Clark County","Jefferson County",12834.9891168773
"Clark County","King County",580154.339094117
"Clark County","Kitsap County",32538.3729766293
"Clark County","Kittitas County",27061.8488298499
"Clark County","Klickitat County",37632.1925410085
"Clark County","Lewis County",189722.598059261
"Clark County","Lincoln County",2778.01610209914
"Clark County","Mason County",21176.2176411651
"Clark County","Okanogan County",4000.28666577718
"Clark County","Pacific County",202430.106724485
"Clark County","Pend Oreille County",212.77519379845
"Clark County","Pierce County",173960.719488382
"Clark County","San Juan County",13775.4703376254
"Clark County","Skagit County",27479.423424695
"Clark County","Skamania County",69080.1828750453
"Clark County","Snohomish County",90254.1508017603
"Clark County","Spokane County",82614.3068419323
"Clark County","Stevens County",2198.68626380645
"Clark County","Thurston County",148426.668848473
"Clark County","Wahkiakum County",9397.63371702502
"Clark County","Walla Walla County",24850.7917231256
"Clark County","Whatcom County",41461.7336621107
"Clark County","Whitman County",15704.5300973731
"Clark County","Yakima County",59644.9340752339
"Columbia County","Adams County",933.514212964678
"Columbia County","Asotin County",6238.91562074557
"Columbia County","Benton County",17358.2356289007
"Columbia County","Chelan County",365.248706439284
"Columbia County","Columbia County",131220.822878319
"Columbia County","Cowlitz County",94.5441333618295
"Columbia County","Douglas County",689.307817417908
"Columbia County","Franklin County",7176.57246018834
"Columbia County","Garfield County",1280.51233160543
"Columbia County","Grant County",1417.17153142639
"Columbia County","Grays Harbor County",490.755148741419
"Columbia County","Island County",838.564160990221
"Columbia County","King County",5729.9334322452
"Columbia County","Kitsap County",107.482134019598
"Columbia County","Kittitas County",748.721017549144
"Columbia County","Lewis County",644.850766835864
"Columbia County","Lincoln County",205.20924555481
"Columbia County","Mason County",684.548568635909
"Columbia County","Pacific County",338.650717232897
"Columbia County","Pierce County",203.338143851766
"Columbia County","Skagit County",665.895003287992
"Columbia County","Snohomish County",911.088817362758
"Columbia County","Spokane County",9746.61739254316
"Columbia County","Stevens County",123.659229208925
"Columbia County","Thurston County",710.213288005091
"Columbia County","Walla Walla County",149112.593606354
"Columbia County","Whitman County",2497.8274067399
"Columbia County","Yakima County",2080.11673316251
"Cowlitz County","Adams County",3908.93928178606
"Cowlitz County","Asotin County",1389.42504479067
"Cowlitz County","Benton County",18036.6076569576
"Cowlitz County","Chelan County",12467.254625758
"Cowlitz County","Clallam County",13292.8201086274
"Cowlitz County","Clark County",1527026.18654653
"Cowlitz County","Columbia County",132.833333333333
"Cowlitz County","Cowlitz County",9833305.51864842
"Cowlitz County","Douglas County",1055.19513882202
"Cowlitz County","Ferry County",661.129511677282
"Cowlitz County","Franklin County",7470.43454618777
"Cowlitz County","Grant County",14890.8257312884
"Cowlitz County","Grays Harbor County",32674.4231276332
"Cowlitz County","Island County",1572.43863955466
"Cowlitz County","Jefferson County",4244.30430643457
"Cowlitz County","King County",133549.041128962
"Cowlitz County","Kitsap County",11427.1417330762
"Cowlitz County","Kittitas County",9255.45415984302
"Cowlitz County","Klickitat County",8948.17892181732
"Cowlitz County","Lewis County",228823.804799215
"Cowlitz County","Lincoln County",963.387336554341
"Cowlitz County","Mason County",11779.4824601077
"Cowlitz County","Okanogan County",4309.49833180918
"Cowlitz County","Pacific County",73428.784891976
"Cowlitz County","Pend Oreille County",110.012024048096
"Cowlitz County","Pierce County",69372.4677031231
