n_mutations,group_1,group_2,n_pairs,n_pairs_1_x,n_pairs_x_2,n_pairs_x_x,RR,type,age_decade,i_period
0,Completed primary series + booster,No valid vaccination record,4638,15001,28939,94526,1.0098998180291094,Only pairs in different postal_codes,30-39y,3
0,No valid vaccination record,Completed primary series,15541,28939,50586,94526,1.0034977000682994,Only pairs in different postal_codes,30-39y,3
0,No valid vaccination record,Completed primary series + booster,4638,28939,15001,94526,1.0098998180291097,Only pairs in different postal_codes,30-39y,3
0,No valid vaccination record,No valid vaccination record,8760,28939,28939,94526,0.9887542131411012,Only pairs in different postal_codes,30-39y,3
0,Completed primary series,Completed primary series,1632,5113,5113,16804,1.049013897494944,All pairs,30-39y,4
0,Completed primary series,Completed primary series + booster,1901,5113,6840,16804,0.913403970843727,All pairs,30-39y,4
0,Completed primary series,No valid vaccination record,1580,5113,4851,16804,1.0704408949777897,All pairs,30-39y,4
0,Completed primary series + booster,Completed primary series,1901,6840,5113,16804,0.913403970843727,All pairs,30-39y,4
0,Completed primary series + booster,Completed primary series + booster,3524,6840,6840,16804,1.2657162887726139,All pairs,30-39y,4
0,Completed primary series + booster,No valid vaccination record,1415,6840,4851,16804,0.7166081389139033,All pairs,30-39y,4
0,No valid vaccination record,Completed primary series,1580,4851,5113,16804,1.0704408949777897,All pairs,30-39y,4
0,No valid vaccination record,Completed primary series + booster,1415,4851,6840,16804,0.7166081389139033,All pairs,30-39y,4
0,No valid vaccination record,No valid vaccination record,1856,4851,4851,16804,1.325342410597292,All pairs,30-39y,4
0,Completed primary series,Completed primary series,1280,4169,4169,14088,1.0375177187893994,Only pairs in different postal_codes,30-39y,4
0,Completed primary series,Completed primary series + booster,1762,4169,6345,14088,0.9384080517746941,Only pairs in different postal_codes,30-39y,4
0,Completed primary series,No valid vaccination record,1127,4169,3574,14088,1.0655818527858312,Only pairs in different postal_codes,30-39y,4
0,Completed primary series + booster,Completed primary series,1762,6345,4169,14088,0.9384080517746941,Only pairs in different postal_codes,30-39y,4
0,Completed primary series + booster,Completed primary series + booster,3292,6345,6345,14088,1.151982592722998,Only pairs in different postal_codes,30-39y,4
0,Completed primary series + booster,No valid vaccination record,1291,6345,3574,14088,0.8020277787699711,Only pairs in different postal_codes,30-39y,4
0,No valid vaccination record,Completed primary series,1127,3574,4169,14088,1.065581852785831,Only pairs in different postal_codes,30-39y,4
0,No valid vaccination record,Completed primary series + booster,1291,3574,6345,14088,0.8020277787699712,Only pairs in different postal_codes,30-39y,4
0,No valid vaccination record,No valid vaccination record,1156,3574,3574,14088,1.2749644654282044,Only pairs in different postal_codes,30-39y,4
0,Completed primary series,Completed primary series,16,239,239,6582,1.8436652019397417,All pairs,40-49y,1
0,Completed primary series,No valid vaccination record,223,239,6343,6582,0.9682112591417945,All pairs,40-49y,1
0,No valid vaccination record,Completed primary series,223,6343,239,6582,0.9682112591417943,All pairs,40-49y,1
0,No valid vaccination record,No valid vaccination record,6120,6343,6343,6582,1.001197778506245,All pairs,40-49y,1
0,Completed primary series,Completed primary series,14,220,220,6070,1.755785123966942,Only pairs in different postal_codes,40-49y,1
0,Completed primary series,No valid vaccination record,206,220,5850,6070,0.9715773115773116,Only pairs in different postal_codes,40-49y,1
0,No valid vaccination record,Completed primary series,206,5850,220,6070,0.9715773115773116,Only pairs in different postal_codes,40-49y,1
0,No valid vaccination record,No valid vaccination record,5644,5850,5850,6070,1.0010688874278617,Only pairs in different postal_codes,40-49y,1
0,Completed primary series,Completed primary series,420,983,983,2802,1.2178965092223961,All pairs,40-49y,2
0,Completed primary series,No valid vaccination record,563,983,1819,2802,0.8822472410304478,All pairs,40-49y,2
0,No valid vaccination record,Completed primary series,563,1819,983,2802,0.8822472410304478,All pairs,40-49y,2
0,No valid vaccination record,No valid vaccination record,1256,1819,1819,2802,1.0636343936597414,All pairs,40-49y,2
