region_1,region_2,n_1_before_2,n_1_2_tot,prop_1_before_2,lower_prop,upper_prop,i_wave,lower_prop_bootstrap,upper_prop_bootstrap
North Puget Sound,Northeast,502,968,0.518595041322314,0.4865920252063381,0.5504486462756562,2,0.4865702479338843,0.5506198347107438
North Puget Sound,Northwest,1210,2345,0.5159914712153518,0.4955420308063326,0.5363880535495268,2,0.4955223880597015,0.5364605543710022
North Puget Sound,Peninsula/Coastal,623,1177,0.5293118096856415,0.5003222938476647,0.558107777403653,2,0.5012744265080714,0.5573491928632116
North Puget Sound,South Central,2305,4284,0.5380485527544351,0.5229751874745662,0.5530532102195339,2,0.523109243697479,0.5529878618113913
North Puget Sound,South Puget Sound,1736,3237,0.5362990423231387,0.5189324257034752,0.5535788331567442,2,0.5193080012357121,0.5532900834105653
North Puget Sound,Southeast,219,296,0.7398648648648649,0.6852700126528302,0.7881075917507823,2,0.6891891891891891,0.7905405405405406
North Puget Sound,Southwest,404,494,0.8178137651821862,0.7802894230315309,0.8502885594767534,2,0.7834008097165992,0.8502024291497976
Northeast,North Central,116,317,0.3659305993690852,0.3132934417629959,0.4218730830937563,2,0.31230283911671924,0.4195583596214511
Northeast,North Puget Sound,466,968,0.48140495867768596,0.4495513537243439,0.5134079747936618,2,0.4493801652892562,0.512396694214876
Northeast,Northwest,548,1077,0.5088207985143919,0.47852270186899903,0.5390552212848674,2,0.479108635097493,0.5385329619312906
Northeast,Peninsula/Coastal,92,214,0.42990654205607476,0.3631383602779497,0.4992331017212188,2,0.3644859813084112,0.4953271028037383
Northeast,South Central,297,743,0.3997308209959623,0.36445213936968535,0.4360606479370721,2,0.36473755047106327,0.4347240915208614
Northeast,South Puget Sound,308,956,0.32217573221757323,0.29280716329774814,0.3529927439691132,2,0.2928870292887029,0.3514644351464435
Northeast,Southeast,263,421,0.6247030878859857,0.5763136203059603,0.6707797721917689,2,0.5771971496437055,0.669833729216152
Northeast,Southwest,77,164,0.4695121951219512,0.39175446853306095,0.5487205586232037,2,0.3902439024390244,0.5487804878048781
Northwest,North Central,129,234,0.5512820512820513,0.4851102846904248,0.6157421796357277,2,0.48717948717948717,0.6153846153846154
Northwest,North Puget Sound,1135,2345,0.4840085287846482,0.46361194645047327,0.5044579691936674,2,0.4639658848614073,0.5040511727078891
Northwest,Northeast,529,1077,0.4911792014856082,0.4609447787151327,0.5214772981310011,2,0.46146703806870937,0.520891364902507
Northwest,Peninsula/Coastal,198,409,0.4841075794621027,0.434841319827828,0.5336770250546704,2,0.4352078239608802,0.5330073349633252
Northwest,South Central,278,640,0.434375,0.3957085962062081,0.47384038550013163,2,0.3953125,0.471875
Northwest,South Puget Sound,448,893,0.5016797312430011,0.4683915676508276,0.5349532600242588,2,0.46920492721164614,0.5341545352743561
Northwest,Southeast,119,245,0.4857142857142857,0.42183450832817343,0.5500494025939249,2,0.42448979591836733,0.5469387755102041
Northwest,Southwest,71,186,0.3817204301075269,0.3124245664965554,0.45598541667504056,2,0.3118279569892473,0.45161290322580644
Peninsula/Coastal,North Central,38,144,0.2638888888888889,0.19562643802361596,0.34500334815421185,2,0.19444444444444445,0.3402777777777778
