period,i_imput,n_pairs,n_west_before_east,prop_west_before_east,lower_prop,upper_prop
Wave 5,487,12576,6857,0.5452449109414759,0.5364897549218218,0.553972308207328
Wave 6,487,485515,313363,0.6454239312894555,0.6440761299329377,0.6467694296763142
Wave 7,487,31524,16584,0.5260753711457937,0.5205447008044097,0.5315996689809128
Wave 4,488,10488,7313,0.6972730739893211,0.6883612794824245,0.7060396272095468
Wave 5,488,12565,6779,0.5395145244727417,0.530748754608431,0.5482560301447453
Wave 6,488,485338,311271,0.6413489156010862,0.6399974685409864,0.6426981234121973
Wave 7,488,31601,16445,0.5203949242112591,0.5148687978061299,0.5259160785111411
Wave 4,489,10469,7279,0.6952908587257618,0.686355408166286,0.7040822672669931
Wave 5,489,12575,6854,0.5450497017892644,0.5362939463235815,0.5537778160684887
Wave 6,489,485259,310914,0.6407176373853962,0.6393655629563646,0.642067482203748
Wave 7,489,31519,16852,0.534661632666011,0.5291352399516821,0.5401795531243019
Wave 4,490,10488,7328,0.6987032799389779,0.6898027548488136,0.7074575097009411
Wave 5,490,12557,6928,0.5517241379310345,0.5429713676789651,0.5604451259855421
Wave 6,490,485682,312652,0.6437380837667445,0.6423890957187435,0.6450847963274194
Wave 7,490,31683,17277,0.5453082094498627,0.5398042981112258,0.5508011035623396
Wave 4,491,10481,7309,0.6973571224119836,0.6884429727054944,0.7061258716195423
Wave 5,491,12556,6872,0.5473080598916853,0.5385486120193343,0.5560384368485527
Wave 6,491,485296,310123,0.6390388546371699,0.6376854688378822,0.6403900375951072
Wave 7,491,31590,17134,0.5423868312757202,0.5368723145183703,0.5478910108068263
Wave 4,492,10498,7315,0.6967993903600685,0.6878881890552515,0.7055658378102235
Wave 5,492,12554,6828,0.5438903935000796,0.5351258215212501,0.5526279904994915
Wave 6,492,485316,310559,0.6399109034113856,0.6385582513036837,0.6412613389520545
Wave 7,492,31575,16817,0.5326049089469517,0.5270821580568176,0.5381197044601796
Wave 4,493,10474,7327,0.6995417223601298,0.6906418294736872,0.7082945051561071
Wave 5,493,12563,6860,0.5460479184908064,0.537289247485934,0.5547783087682723
Wave 6,493,485152,311636,0.6423471406899282,0.6409962572812241,0.6436957681698244
Wave 7,493,31589,16827,0.5326854284719365,0.5271639540490629,0.5381989314105503
Wave 4,494,10475,7270,0.6940334128878282,0.6850908471696755,0.7028329471041092
Wave 5,494,12577,6855,0.5450425379661287,0.536287473629234,0.5537699699157016
Wave 6,494,485355,311314,0.6414150467183813,0.6400636776851593,0.6427641755333942
Wave 7,494,31572,16876,0.5345242620043076,0.5290024378237485,0.5400376616910831
Wave 4,495,10480,7267,0.6934160305343512,0.6844708890185144,0.7022186642630248
Wave 5,495,12554,6878,0.5478731878285805,0.5391138092316211,0.556603143527159
Wave 6,495,485181,308040,0.6348970796465649,0.6335402465559512,0.6362517750126498
Wave 7,495,31613,16847,0.5329136747540568,0.5273944414626424,0.5384248869967422
Wave 4,496,10481,7304,0.6968800686957352,0.6879621792918369,0.7056529094125226
Wave 5,496,12570,6900,0.548926014319809,0.5401737113608018,0.5576482856348947
Wave 6,496,485235,308585,0.6359495914350779,0.6345936588455767,0.6373033698596511
Wave 7,496,31557,16623,0.5267610989637799,0.5212336473005482,0.5322820173838931
Wave 4,497,10483,7215,0.6882571782886578,0.6792744789331346,0.6971012140812062
