region_first,region_last,n_clusters,n_tot_clusters,i_wave,prop,lower_prop,upper_prop,lower_prop_bootstrap,upper_prop_bootstrap
Peninsula/Coastal,South Puget Sound,4,6,1,0.6666666666666666,0.24107821098195234,0.9400102953115789,0.3333333333333333,1
Peninsula/Coastal,Southwest,3,7,1,0.42857142857142855,0.11808301126155255,0.7976283063935146,0.14285714285714285,0.8571428571428571
South Central,North Central,9,18,1,0.5,0.2903102150516998,0.7096897849483002,0.2777777777777778,0.7222222222222222
South Central,North Puget Sound,68,157,1,0.43312101910828027,0.3550823198964764,0.5144839879379448,0.35668789808917195,0.5095541401273885
South Central,Northeast,7,23,1,0.30434782608695654,0.14056331562078364,0.5300577628099005,0.13043478260869565,0.4782608695652174
South Central,Northwest,7,14,1,0.5,0.26799202452413634,0.7320079754758636,0.21428571428571427,0.7857142857142857
South Central,Peninsula/Coastal,2,2,1,1,0.19786745576231118,1,1,1
South Central,South Puget Sound,12,18,1,0.6666666666666666,0.41154797384719327,0.8564333844901474,0.4444444444444444,0.8888888888888888
South Central,Southeast,5,5,1,1,0.4629439825324768,1,1,1
South Puget Sound,North Puget Sound,295,734,1,0.4019073569482289,0.3663701288060352,0.4384855573689654,0.36648501362397823,0.4373297002724796
South Puget Sound,Northwest,11,11,1,1,0.6785520842195044,1,1,1
South Puget Sound,Peninsula/Coastal,2,6,1,0.3333333333333333,0.059989704688421214,0.7589217890180476,0,0.6666666666666666
South Puget Sound,South Central,6,18,1,0.3333333333333333,0.14356661550985264,0.5884520261528067,0.1111111111111111,0.5555555555555556
South Puget Sound,Southwest,2,6,1,0.3333333333333333,0.059989704688421214,0.7589217890180476,0,0.6666666666666666
Southeast,Northeast,9,25,1,0.36,0.1871198028393016,0.573846930555067,0.16,0.56
Southeast,South Puget Sound,3,3,1,1,0.3099881064419567,1,1,1
Southwest,North Puget Sound,9,23,1,0.391304347826087,0.20467675376760008,0.612174939636377,0.21739130434782608,0.6086956521739131
Southwest,Peninsula/Coastal,4,7,1,0.5714285714285714,0.20237169360648538,0.8819169887384474,0.14285714285714285,0.8571428571428571
Southwest,South Central,4,4,1,1,0.3957730344827787,1,1,1
Southwest,South Puget Sound,4,6,1,0.6666666666666666,0.24107821098195234,0.9400102953115789,0.3333333333333333,1
North Central,North Puget Sound,32,56,2,0.5714285714285714,0.43273485223340236,0.7003409249589464,0.44642857142857145,0.6964285714285714
North Central,Northeast,25,43,2,0.5813953488372093,0.4221444348391931,0.7262879857743075,0.4418604651162791,0.7209302325581395
North Central,Northwest,11,17,2,0.6470588235294118,0.3862040572678504,0.8474076409876058,0.4117647058823529,0.8823529411764706
North Central,South Central,21,89,2,0.23595505617977527,0.15512462077117026,0.33998791466822403,0.14606741573033707,0.3258426966292135
North Central,South Puget Sound,10,26,2,0.38461538461538464,0.20907657321550935,0.5927041565783553,0.19230769230769232,0.5769230769230769
North Central,Southeast,17,35,2,0.4857142857142857,0.317243176249319,0.6572426407851921,0.3142857142857143,0.6571428571428571
North Central,Southwest,2,2,2,1,0.19786745576231118,1,1,1
North Puget Sound,North Central,24,56,2,0.42857142857142855,0.29965907504105344,0.5672651477665976,0.30357142857142855,0.5535714285714286
