name_wave,age_decade_1,age_decade_2,n_1_before_2,n_pairs
Wave 7,0-9y,80y+,279,649
Wave 7,10-19y,0-9y,1789,3006
Wave 7,10-19y,20-29y,3878,8798
Wave 7,10-19y,30-39y,3165,6883
Wave 7,10-19y,40-49y,2717,5793
Wave 7,10-19y,50-59y,2032,4271
Wave 7,10-19y,60-69y,1375,3254
Wave 7,10-19y,70-79y,893,1700
Wave 7,10-19y,80y+,464,840
Wave 7,20-29y,0-9y,3325,5229
Wave 7,20-29y,10-19y,4920,8798
Wave 7,20-29y,30-39y,8813,17204
Wave 7,20-29y,40-49y,6709,13249
Wave 7,20-29y,50-59y,4786,9645
Wave 7,20-29y,60-69y,3354,7123
Wave 7,20-29y,70-79y,2001,3918
Wave 7,20-29y,80y+,1128,2147
Wave 7,30-39y,0-9y,2715,4642
Wave 7,30-39y,10-19y,3718,6883
Wave 7,30-39y,20-29y,8391,17204
Wave 7,30-39y,40-49y,6062,12557
Wave 7,30-39y,50-59y,4123,9182
Wave 7,30-39y,60-69y,2982,6705
Wave 7,30-39y,70-79y,1685,3582
Wave 7,30-39y,80y+,978,1979
Wave 7,40-49y,0-9y,2300,3917
Wave 7,40-49y,10-19y,3076,5793
Wave 7,40-49y,20-29y,6540,13249
Wave 7,40-49y,30-39y,6495,12557
Wave 7,40-49y,50-59y,3581,7574
Wave 7,40-49y,60-69y,2607,5702
Wave 7,40-49y,70-79y,1450,2985
Wave 7,40-49y,80y+,833,1731
Wave 7,50-59y,0-9y,1593,2743
Wave 7,50-59y,10-19y,2239,4271
Wave 7,50-59y,20-29y,4859,9645
Wave 7,50-59y,30-39y,5059,9182
Wave 7,50-59y,40-49y,3993,7574
Wave 7,50-59y,60-69y,2170,4398
Wave 7,50-59y,70-79y,1253,2380
Wave 7,50-59y,80y+,742,1394
Wave 7,60-69y,0-9y,1310,2227
Wave 7,60-69y,10-19y,1879,3254
Wave 7,60-69y,20-29y,3769,7123
Wave 7,60-69y,30-39y,3723,6705
Wave 7,60-69y,40-49y,3095,5702
Wave 7,60-69y,50-59y,2228,4398
Wave 7,60-69y,70-79y,1091,2042
Wave 7,60-69y,80y+,603,1241
Wave 7,70-79y,0-9y,623,1187
Wave 7,70-79y,10-19y,807,1700
Wave 7,70-79y,20-29y,1917,3918
Wave 7,70-79y,30-39y,1897,3582
Wave 7,70-79y,40-49y,1535,2985
Wave 7,70-79y,50-59y,1127,2380
Wave 7,70-79y,60-69y,951,2042
Wave 7,70-79y,80y+,410,885
Wave 7,80y+,0-9y,370,649
Wave 7,80y+,10-19y,376,840
Wave 7,80y+,20-29y,1019,2147
Wave 7,80y+,30-39y,1001,1979
Wave 7,80y+,40-49y,898,1731
Wave 7,80y+,50-59y,652,1394
Wave 7,80y+,60-69y,638,1241
Wave 7,80y+,70-79y,475,885
