age_decade_1,age_decade_2,n_1_before_2,n_1_2_tot,prop_1_before_2,lower_prop,upper_prop,i_wave
40-49y,0-9y,1890,3746,0.5045381740523225,0.48839742916286477,0.5206695433630305,1
40-49y,10-19y,3690,6799,0.5427268715987645,0.5307909873966079,0.5546142018057341,1
40-49y,20-29y,4696,10382,0.45232132537083414,0.44271864799678506,0.46195945039237263,1
40-49y,30-39y,4605,8671,0.5310806135393842,0.5205077414206363,0.5416258078709956,1
40-49y,50-59y,1955,4056,0.48200197238658776,0.46652568391787214,0.4975125935601012,1
40-49y,60-69y,1280,2264,0.5653710247349824,0.5446365543605199,0.5858816401166322,1
40-49y,70-79y,418,657,0.6362252663622526,0.5979726405898839,0.6728614807700937,1
40-49y,80y+,157,227,0.6916299559471366,0.6264997274568435,0.7501507589735575,1
50-59y,0-9y,1186,2338,0.5072711719418306,0.48679708356946233,0.5277211541299118,1
50-59y,10-19y,2438,4439,0.5492227979274611,0.5344363447351862,0.5639234763754786,1
50-59y,20-29y,3199,6664,0.4800420168067227,0.46798693735773844,0.49212023633583324,1
50-59y,30-39y,3087,5635,0.5478260869565217,0.534714030196307,0.5608725359183033,1
50-59y,40-49y,2101,4056,0.5179980276134122,0.5024874064398988,0.5334743160821278,1
50-59y,60-69y,845,1483,0.5697909642616318,0.5441053685025585,0.5951111121343575,1
50-59y,70-79y,265,411,0.6447688564476886,0.5961148886344525,0.6906715471769197,1
50-59y,80y+,103,136,0.7573529411764706,0.6749560457833977,0.8249027578132346,1
60-69y,0-9y,603,1260,0.4785714285714286,0.45070126031852437,0.5065737327854445,1
60-69y,10-19y,1083,2321,0.4666092201637225,0.44617063650670136,0.48715932079649504,1
60-69y,20-29y,1511,3653,0.41363263071448125,0.39762514787928555,0.42982312319872146,1
60-69y,30-39y,1421,2939,0.4834977883633889,0.46529459577485566,0.5017444689293233,1
60-69y,40-49y,984,2264,0.43462897526501765,0.41411835988336776,0.45536344563948006,1
60-69y,50-59y,638,1483,0.43020903573836816,0.40488888786564237,0.4558946314974414,1
60-69y,70-79y,149,275,0.5418181818181819,0.48094777949973055,0.6015010404015069,1
60-69y,80y+,55,99,0.5555555555555556,0.4524593705658275,0.6542913101666982,1
70-79y,0-9y,153,386,0.3963730569948187,0.3475722947686108,0.4472700117416433,1
70-79y,10-19y,277,647,0.4281298299845441,0.3897777492428032,0.4673474530824956,1
70-79y,20-29y,362,1050,0.34476190476190477,0.3161612274828788,0.374513037201025,1
70-79y,30-39y,339,865,0.3919075144508671,0.3593544860826886,0.42543331763823244,1
70-79y,40-49y,239,657,0.3637747336377473,0.32713851922990644,0.40202735941011614,1
70-79y,50-59y,146,411,0.35523114355231145,0.30932845282308036,0.40388511136554733,1
70-79y,60-69y,126,275,0.4581818181818182,0.3984989595984931,0.5190522205002696,1
70-79y,80y+,20,37,0.5405405405405406,0.3713437689624971,0.701500118440448,1
80y+,0-9y,46,154,0.2987012987012987,0.2290821618612711,0.378552320903153,1
80y+,10-19y,53,214,0.24766355140186916,0.19250318890224247,0.31207870499678436,1
80y+,20-29y,94,400,0.235,0.19492844345648366,0.2802637367760246,1
80y+,30-39y,93,324,0.28703703703703703,0.23905300568885285,0.34016706140737407,1
80y+,40-49y,70,227,0.30837004405286345,0.24984924102644254,0.3735002725431567,1
80y+,50-59y,33,136,0.2426470588235294,0.1750972421867653,0.32504395421660215,1
80y+,60-69y,44,99,0.4444444444444444,0.3457086898333019,0.5475406294341726,1
80y+,70-79y,17,37,0.4594594594594595,0.298499881559552,0.628656231037503,1
0-9y,10-19y,651,1274,0.510989010989011,0.4831563751467955,0.5387546330499791,2
0-9y,20-29y,839,2066,0.40609874152952563,0.3848758024662779,0.4276742063978474,2
0-9y,30-39y,906,1942,0.466529351184346,0.4441730495910618,0.4890193395363175,2
0-9y,40-49y,646,1435,0.45017421602787455,0.4242546103955417,0.4763634706311355,2
0-9y,50-59y,443,1007,0.43992055610724923,0.4090572957084755,0.4712478325145458,2
0-9y,60-69y,319,687,0.4643377001455604,0.42662602560056545,0.5024536970287242,2
0-9y,70-79y,213,384,0.5546875,0.5033770607214957,0.604886377078709,2
0-9y,80y+,115,167,0.688622754491018,0.6117124371963237,0.7566936328512784,2
10-19y,0-9y,623,1274,0.489010989010989,0.46124536695002094,0.5168436248532042,2
10-19y,20-29y,1372,3416,0.4016393442622951,0.3851739665427163,0.4183276625132428,2
10-19y,30-39y,1291,2868,0.450139470013947,0.43183692316848915,0.46857668298098226,2
