age_decade,period,is_west,delay_sequence_collection_symptom_onset,n_seq,prop
10-19y,Wave 5,FALSE,16,3,0.004243281471004243
10-19y,Wave 5,FALSE,17,1,0.0014144271570014145
10-19y,Wave 5,FALSE,30,1,0.0014144271570014145
10-19y,Wave 5,TRUE,-7,1,8.347245409015025e-4
10-19y,Wave 5,TRUE,-5,1,8.347245409015025e-4
10-19y,Wave 5,TRUE,-4,2,0.001669449081803005
10-19y,Wave 5,TRUE,-3,7,0.005843071786310518
10-19y,Wave 5,TRUE,-2,13,0.010851419031719533
10-19y,Wave 5,TRUE,-1,37,0.030884808013355594
10-19y,Wave 5,TRUE,0,165,0.13772954924874792
10-19y,Wave 5,TRUE,1,236,0.19699499165275458
10-19y,Wave 5,TRUE,2,243,0.2028380634390651
10-19y,Wave 5,TRUE,3,169,0.14106844741235391
10-19y,Wave 5,TRUE,4,116,0.09682804674457429
10-19y,Wave 5,TRUE,5,73,0.06093489148580968
10-19y,Wave 5,TRUE,6,34,0.028380634390651086
10-19y,Wave 5,TRUE,7,20,0.01669449081803005
10-19y,Wave 5,TRUE,8,20,0.01669449081803005
10-19y,Wave 5,TRUE,9,16,0.01335559265442404
10-19y,Wave 5,TRUE,10,11,0.009181969949916527
10-19y,Wave 5,TRUE,11,8,0.00667779632721202
10-19y,Wave 5,TRUE,12,6,0.005008347245409015
10-19y,Wave 5,TRUE,13,3,0.0025041736227045075
10-19y,Wave 5,TRUE,14,6,0.005008347245409015
10-19y,Wave 5,TRUE,15,2,0.001669449081803005
10-19y,Wave 5,TRUE,16,1,8.347245409015025e-4
10-19y,Wave 5,TRUE,19,3,0.0025041736227045075
10-19y,Wave 5,TRUE,20,1,8.347245409015025e-4
10-19y,Wave 5,TRUE,21,2,0.001669449081803005
10-19y,Wave 5,TRUE,22,1,8.347245409015025e-4
10-19y,Wave 5,TRUE,25,1,8.347245409015025e-4
10-19y,Wave 6,FALSE,-1,1,0.007194244604316547
10-19y,Wave 6,FALSE,0,18,0.12949640287769784
10-19y,Wave 6,FALSE,1,30,0.2158273381294964
10-19y,Wave 6,FALSE,2,32,0.2302158273381295
10-19y,Wave 6,FALSE,3,25,0.17985611510791366
10-19y,Wave 6,FALSE,4,10,0.07194244604316546
10-19y,Wave 6,FALSE,5,11,0.07913669064748201
10-19y,Wave 6,FALSE,6,7,0.050359712230215826
10-19y,Wave 6,FALSE,7,2,0.014388489208633094
10-19y,Wave 6,FALSE,8,2,0.014388489208633094
10-19y,Wave 6,FALSE,10,1,0.007194244604316547
10-19y,Wave 6,TRUE,-7,1,0.0018050541516245488
10-19y,Wave 6,TRUE,-1,10,0.018050541516245487
10-19y,Wave 6,TRUE,0,77,0.13898916967509026
10-19y,Wave 6,TRUE,1,146,0.26353790613718414
10-19y,Wave 6,TRUE,2,121,0.2184115523465704
10-19y,Wave 6,TRUE,3,70,0.1263537906137184
10-19y,Wave 6,TRUE,4,52,0.09386281588447654
10-19y,Wave 6,TRUE,5,35,0.0631768953068592
10-19y,Wave 6,TRUE,6,17,0.030685920577617327
10-19y,Wave 6,TRUE,7,4,0.007220216606498195
10-19y,Wave 6,TRUE,8,3,0.005415162454873646
10-19y,Wave 6,TRUE,9,7,0.01263537906137184
10-19y,Wave 6,TRUE,10,3,0.005415162454873646
10-19y,Wave 6,TRUE,11,3,0.005415162454873646
10-19y,Wave 6,TRUE,12,1,0.0018050541516245488
10-19y,Wave 6,TRUE,15,1,0.0018050541516245488
10-19y,Wave 6,TRUE,17,1,0.0018050541516245488
10-19y,Wave 6,TRUE,23,1,0.0018050541516245488
10-19y,Wave 6,TRUE,24,1,0.0018050541516245488
10-19y,Wave 7,FALSE,0,5,0.17857142857142858
10-19y,Wave 7,FALSE,1,12,0.42857142857142855
10-19y,Wave 7,FALSE,2,6,0.21428571428571427
10-19y,Wave 7,FALSE,3,2,0.07142857142857142
10-19y,Wave 7,FALSE,5,2,0.07142857142857142
10-19y,Wave 7,FALSE,11,1,0.03571428571428571
10-19y,Wave 7,TRUE,-11,1,0.004132231404958678
10-19y,Wave 7,TRUE,-2,3,0.012396694214876033
10-19y,Wave 7,TRUE,-1,6,0.024793388429752067
10-19y,Wave 7,TRUE,0,22,0.09090909090909091
10-19y,Wave 7,TRUE,1,53,0.2190082644628099
10-19y,Wave 7,TRUE,2,58,0.2396694214876033
10-19y,Wave 7,TRUE,3,38,0.15702479338842976
10-19y,Wave 7,TRUE,4,16,0.06611570247933884
10-19y,Wave 7,TRUE,5,15,0.06198347107438017
10-19y,Wave 7,TRUE,6,11,0.045454545454545456
10-19y,Wave 7,TRUE,7,10,0.04132231404958678
10-19y,Wave 7,TRUE,8,3,0.012396694214876033
10-19y,Wave 7,TRUE,9,3,0.012396694214876033
10-19y,Wave 7,TRUE,10,1,0.004132231404958678
10-19y,Wave 7,TRUE,11,1,0.004132231404958678
10-19y,Wave 7,TRUE,21,1,0.004132231404958678
20-29y,Wave 4,FALSE,-2,2,0.004106776180698152
20-29y,Wave 4,FALSE,-1,8,0.01642710472279261
20-29y,Wave 4,FALSE,0,66,0.13552361396303902
20-29y,Wave 4,FALSE,1,104,0.2135523613963039
20-29y,Wave 4,FALSE,2,101,0.20739219712525667
20-29y,Wave 4,FALSE,3,68,0.13963039014373715
20-29y,Wave 4,FALSE,4,42,0.08624229979466119
20-29y,Wave 4,FALSE,5,24,0.049281314168377825
20-29y,Wave 4,FALSE,6,25,0.0513347022587269
20-29y,Wave 4,FALSE,7,11,0.022587268993839837
20-29y,Wave 4,FALSE,8,12,0.024640657084188913
20-29y,Wave 4,FALSE,9,4,0.008213552361396304
20-29y,Wave 4,FALSE,10,10,0.02053388090349076
20-29y,Wave 4,FALSE,11,4,0.008213552361396304
20-29y,Wave 4,FALSE,12,1,0.002053388090349076
20-29y,Wave 4,FALSE,13,1,0.002053388090349076
20-29y,Wave 4,FALSE,14,2,0.004106776180698152
20-29y,Wave 4,FALSE,23,1,0.002053388090349076
20-29y,Wave 4,FALSE,24,1,0.002053388090349076
20-29y,Wave 4,TRUE,-4,1,5.324813631522897e-4
20-29y,Wave 4,TRUE,-3,2,0.0010649627263045794
20-29y,Wave 4,TRUE,-2,12,0.006389776357827476
20-29y,Wave 4,TRUE,-1,58,0.0308839190628328
20-29y,Wave 4,TRUE,0,274,0.14589989350372737
20-29y,Wave 4,TRUE,1,448,0.23855165069222578
20-29y,Wave 4,TRUE,2,372,0.19808306709265175
20-29y,Wave 4,TRUE,3,264,0.14057507987220447
20-29y,Wave 4,TRUE,4,139,0.07401490947816826
20-29y,Wave 4,TRUE,5,103,0.05484558040468584
20-29y,Wave 4,TRUE,6,74,0.039403620873269436
20-29y,Wave 4,TRUE,7,33,0.01757188498402556
20-29y,Wave 4,TRUE,8,27,0.01437699680511182
20-29y,Wave 4,TRUE,9,15,0.007987220447284345
20-29y,Wave 4,TRUE,10,21,0.011182108626198083
20-29y,Wave 4,TRUE,11,13,0.006922257720979766
20-29y,Wave 4,TRUE,12,9,0.004792332268370607
20-29y,Wave 4,TRUE,13,5,0.0026624068157614484
20-29y,Wave 4,TRUE,14,2,0.0010649627263045794
20-29y,Wave 4,TRUE,15,1,5.324813631522897e-4
20-29y,Wave 4,TRUE,16,1,5.324813631522897e-4
20-29y,Wave 4,TRUE,17,1,5.324813631522897e-4
20-29y,Wave 4,TRUE,18,1,5.324813631522897e-4
20-29y,Wave 4,TRUE,20,1,5.324813631522897e-4
20-29y,Wave 4,TRUE,23,1,5.324813631522897e-4
20-29y,Wave 5,FALSE,-4,2,0.0023923444976076554
20-29y,Wave 5,FALSE,-2,6,0.007177033492822967
20-29y,Wave 5,FALSE,-1,17,0.02033492822966507
20-29y,Wave 5,FALSE,0,101,0.12081339712918661
20-29y,Wave 5,FALSE,1,190,0.22727272727272727
20-29y,Wave 5,FALSE,2,175,0.20933014354066987
20-29y,Wave 5,FALSE,3,111,0.13277511961722488
20-29y,Wave 5,FALSE,4,88,0.10526315789473684
20-29y,Wave 5,FALSE,5,39,0.04665071770334928
20-29y,Wave 5,FALSE,6,37,0.04425837320574163
20-29y,Wave 5,FALSE,7,20,0.023923444976076555
20-29y,Wave 5,FALSE,8,18,0.0215311004784689
20-29y,Wave 5,FALSE,9,13,0.01555023923444976
20-29y,Wave 5,FALSE,10,7,0.008373205741626795
20-29y,Wave 5,FALSE,11,4,0.004784688995215311
20-29y,Wave 5,FALSE,12,2,0.0023923444976076554
20-29y,Wave 5,FALSE,13,3,0.0035885167464114833
20-29y,Wave 5,FALSE,14,3,0.0035885167464114833
20-29y,Wave 5,TRUE,-5,1,5.633802816901409e-4
20-29y,Wave 5,TRUE,-3,3,0.0016901408450704226
20-29y,Wave 5,TRUE,-2,7,0.003943661971830986
20-29y,Wave 5,TRUE,-1,28,0.015774647887323943
20-29y,Wave 5,TRUE,0,216,0.12169014084507042
20-29y,Wave 5,TRUE,1,391,0.22028169014084506
20-29y,Wave 5,TRUE,2,404,0.2276056338028169
20-29y,Wave 5,TRUE,3,276,0.15549295774647887
20-29y,Wave 5,TRUE,4,165,0.09295774647887324
20-29y,Wave 5,TRUE,5,106,0.05971830985915493
20-29y,Wave 5,TRUE,6,64,0.036056338028169016
20-29y,Wave 5,TRUE,7,40,0.022535211267605635
20-29y,Wave 5,TRUE,8,25,0.014084507042253521
20-29y,Wave 5,TRUE,9,10,0.005633802816901409
20-29y,Wave 5,TRUE,10,14,0.007887323943661971
20-29y,Wave 5,TRUE,11,4,0.0022535211267605635
20-29y,Wave 5,TRUE,12,8,0.004507042253521127
20-29y,Wave 5,TRUE,13,4,0.0022535211267605635
20-29y,Wave 5,TRUE,15,4,0.0022535211267605635
20-29y,Wave 5,TRUE,17,2,0.0011267605633802818
20-29y,Wave 5,TRUE,19,1,5.633802816901409e-4
20-29y,Wave 5,TRUE,21,1,5.633802816901409e-4
20-29y,Wave 5,TRUE,24,1,5.633802816901409e-4
20-29y,Wave 6,FALSE,-1,1,0.008064516129032258
20-29y,Wave 6,FALSE,0,8,0.06451612903225806
20-29y,Wave 6,FALSE,1,32,0.25806451612903225
20-29y,Wave 6,FALSE,2,26,0.20967741935483872
20-29y,Wave 6,FALSE,3,20,0.16129032258064516
20-29y,Wave 6,FALSE,4,13,0.10483870967741936
20-29y,Wave 6,FALSE,5,7,0.056451612903225805
20-29y,Wave 6,FALSE,6,5,0.04032258064516129
20-29y,Wave 6,FALSE,7,5,0.04032258064516129
20-29y,Wave 6,FALSE,8,4,0.03225806451612903
20-29y,Wave 6,FALSE,9,2,0.016129032258064516
20-29y,Wave 6,FALSE,11,1,0.008064516129032258
