n_clusters,n_singletons,n_non_singletons,n_seq_non_singletons,i_subsample_step,curr_subsample_step,n_new_clusters,n_new_samples,n_new_clusters_per_sample,n_new_seq_non_singleton,n_new_seq_non_singleton_per_sample,n_new_clusters_non_singleton,n_new_clusters_non_singleton_per_sample,i_subsample
26772,22935,3837,11065,43,34000,663,1000,0.663,500,0.5,163,0.163,62
27474,23494,3980,11506,44,35000,702,1000,0.702,441,0.441,143,0.143,62
28141,23999,4142,12001,45,36000,667,1000,0.667,495,0.495,162,0.162,62
28784,24481,4303,12519,46,37000,643,1000,0.643,518,0.518,161,0.161,62
29459,25008,4451,12992,47,38000,675,1000,0.675,473,0.473,148,0.148,62
30112,25512,4600,13488,48,39000,653,1000,0.653,496,0.496,149,0.149,62
30757,26017,4740,13983,49,40000,645,1000,0.645,495,0.495,140,0.14,62
31430,26547,4883,14453,50,41000,673,1000,0.673,470,0.47,143,0.143,62
32048,27006,5042,14994,51,42000,618,1000,0.618,541,0.541,159,0.159,62
32661,27433,5228,15567,52,43000,613,1000,0.613,573,0.573,186,0.186,62
33260,27859,5401,16141,53,44000,599,1000,0.599,574,0.574,173,0.173,62
33936,28389,5547,16611,54,45000,676,1000,0.676,470,0.47,146,0.146,62
34584,28882,5702,17118,55,46000,648,1000,0.648,507,0.507,155,0.155,62
35176,29314,5862,17686,56,47000,592,1000,0.592,568,0.568,160,0.16,62
35798,29778,6020,18222,57,48000,622,1000,0.622,536,0.536,158,0.158,62
36418,30226,6192,18774,58,49000,620,1000,0.62,552,0.552,172,0.172,62
37045,30699,6346,19301,59,50000,627,1000,0.627,527,0.527,154,0.154,62
37635,31114,6521,19886,60,51000,590,1000,0.59,585,0.585,175,0.175,62
38232,31527,6705,20473,61,52000,597,1000,0.597,587,0.587,184,0.184,62
38831,31961,6870,21039,62,53000,599,1000,0.599,566,0.566,165,0.165,62
39445,32432,7013,21568,63,54000,614,1000,0.614,529,0.529,143,0.143,62
40056,32873,7183,22127,64,55000,611,1000,0.611,559,0.559,170,0.17,62
40665,33319,7346,22681,65,56000,609,1000,0.609,554,0.554,163,0.163,62
41263,33740,7523,23260,66,57000,598,1000,0.598,579,0.579,177,0.177,62
41863,34170,7693,23830,67,58000,600,1000,0.6,570,0.57,170,0.17,62
42466,34605,7861,24395,68,59000,603,1000,0.603,565,0.565,168,0.168,62
43079,35068,8011,24932,69,60000,613,1000,0.613,537,0.537,150,0.15,62
43692,35536,8156,25464,70,61000,613,1000,0.613,532,0.532,145,0.145,62
44283,35953,8330,26047,71,62000,591,1000,0.591,583,0.583,174,0.174,62
44864,36367,8497,26633,72,63000,581,1000,0.581,586,0.586,167,0.167,62
45438,36771,8667,27229,73,64000,574,1000,0.574,596,0.596,170,0.17,62
46011,37175,8836,27825,74,65000,573,1000,0.573,596,0.596,169,0.169,62
46595,37606,8989,28394,75,66000,584,1000,0.584,569,0.569,153,0.153,62
47163,38004,9159,28996,76,67000,568,1000,0.568,602,0.602,170,0.17,62
47709,38379,9330,29621,77,68000,546,1000,0.546,625,0.625,171,0.171,62
48278,38788,9490,30212,78,69000,569,1000,0.569,591,0.591,160,0.16,62
48836,39178,9658,30822,79,70000,558,1000,0.558,610,0.61,168,0.168,62
49419,39591,9828,31409,80,71000,583,1000,0.583,587,0.587,170,0.17,62
49984,39995,9989,32005,81,72000,565,1000,0.565,596,0.596,161,0.161,62
50543,40370,10173,32630,82,73000,559,1000,0.559,625,0.625,184,0.184,62
51105,40767,10338,33233,83,74000,562,1000,0.562,603,0.603,165,0.165,62
51667,41173,10494,33827,84,75000,562,1000,0.562,594,0.594,156,0.156,62
52224,41560,10664,34440,85,76000,557,1000,0.557,613,0.613,170,0.17,62
52784,41962,10822,35038,86,77000,560,1000,0.56,598,0.598,158,0.158,62
53317,42287,11030,35713,87,78000,533,1000,0.533,675,0.675,208,0.208,62
53867,42666,11201,36334,88,79000,550,1000,0.55,621,0.621,171,0.171,62
54424,43073,11351,36927,89,80000,557,1000,0.557,593,0.593,150,0.15,62
54941,43400,11541,37600,90,81000,517,1000,0.517,673,0.673,190,0.19,62
55449,43732,11717,38268,91,82000,508,1000,0.508,668,0.668,176,0.176,62
55980,44082,11898,38918,92,83000,531,1000,0.531,650,0.65,181,0.181,62
56537,44468,12069,39532,93,84000,557,1000,0.557,614,0.614,171,0.171,62
57069,44840,12229,40160,94,85000,532,1000,0.532,628,0.628,160,0.16,62
57583,45187,12396,40813,95,86000,514,1000,0.514,653,0.653,167,0.167,62
58107,45539,12568,41461,96,87000,524,1000,0.524,648,0.648,172,0.172,62
58625,45900,12725,42100,97,88000,518,1000,0.518,639,0.639,157,0.157,62
59157,46272,12885,42728,98,89000,532,1000,0.532,628,0.628,160,0.16,62
59696,46634,13062,43366,99,90000,539,1000,0.539,638,0.638,177,0.177,62
60231,47001,13230,43999,100,91000,535,1000,0.535,633,0.633,168,0.168,62
60784,47380,13404,44620,101,92000,553,1000,0.553,621,0.621,174,0.174,62
61290,47723,13567,45277,102,93000,506,1000,0.506,657,0.657,163,0.163,62
61790,48054,13736,45946,103,94000,500,1000,0.5,669,0.669,169,0.169,62
62307,48391,13916,46609,104,95000,517,1000,0.517,663,0.663,180,0.18,62
62828,48734,14094,47266,105,96000,521,1000,0.521,657,0.657,178,0.178,62
63330,49065,14265,47935,106,97000,502,1000,0.502,669,0.669,171,0.171,62
63852,49407,14445,48593,107,98000,522,1000,0.522,658,0.658,180,0.18,62
64336,49700,14636,49300,108,99000,484,1000,0.484,707,0.707,191,0.191,62
64859,50044,14815,49956,109,100000,523,1000,0.523,656,0.656,179,0.179,62
65357,50372,14985,50628,110,101000,498,1000,0.498,672,0.672,170,0.17,62
65851,50693,15158,51307,111,102000,494,1000,0.494,679,0.679,173,0.173,62
66366,51056,15310,51944,112,103000,515,1000,0.515,637,0.637,152,0.152,62
66861,51383,15478,52617,113,104000,495,1000,0.495,673,0.673,168,0.168,62
67322,51674,15648,53326,114,105000,461,1000,0.461,709,0.709,170,0.17,62
67845,52045,15800,53955,115,106000,523,1000,0.523,629,0.629,152,0.152,62
68357,52399,15958,54601,116,107000,512,1000,0.512,646,0.646,158,0.158,62
68853,52715,16138,55285,117,108000,496,1000,0.496,684,0.684,180,0.18,62
69361,53056,16305,55944,118,109000,508,1000,0.508,659,0.659,167,0.167,62
69834,53350,16484,56650,119,110000,473,1000,0.473,706,0.706,179,0.179,62
70299,53638,16661,57362,120,111000,465,1000,0.465,712,0.712,177,0.177,62
70773,53947,16826,58053,121,112000,474,1000,0.474,691,0.691,165,0.165,62
71243,54238,17005,58762,122,113000,470,1000,0.47,709,0.709,179,0.179,62
71717,54535,17182,59465,123,114000,474,1000,0.474,703,0.703,177,0.177,62
71869,54638,17231,59660,124,114298,152,298,0.5100671140939598,195,0.6543624161073825,49,0.1644295302013423,62
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,63
200,200,0,0,2,200,100,100,1,0,0,0,0,63
300,300,0,0,3,300,100,100,1,0,0,0,0,63
397,394,3,6,4,400,97,100,0.97,6,0.06,3,0.03,63
494,488,6,12,5,500,97,100,0.97,6,0.06,3,0.03,63
591,582,9,18,6,600,97,100,0.97,6,0.06,3,0.03,63
689,679,10,21,7,700,98,100,0.98,3,0.03,1,0.01,63
786,773,13,27,8,800,97,100,0.97,6,0.06,3,0.03,63
882,865,17,35,9,900,96,100,0.96,8,0.08,4,0.04,63
981,963,18,37,10,1000,99,100,0.99,2,0.02,1,0.01,63
1935,1882,53,118,11,2000,954,1000,0.954,81,0.081,35,0.035,63
2860,2752,108,248,12,3000,925,1000,0.925,130,0.13,55,0.055,63
3764,3597,167,403,13,4000,904,1000,0.904,155,0.155,59,0.059,63
4671,4440,231,560,14,5000,907,1000,0.907,157,0.157,64,0.064,63
5537,5215,322,785,15,6000,866,1000,0.866,225,0.225,91,0.091,63
6401,5992,409,1008,16,7000,864,1000,0.864,223,0.223,87,0.087,63
7265,6774,491,1226,17,8000,864,1000,0.864,218,0.218,82,0.082,63
8109,7520,589,1480,18,9000,844,1000,0.844,254,0.254,98,0.098,63
8955,8276,679,1724,19,10000,846,1000,0.846,244,0.244,90,0.09,63
9780,8994,786,2006,20,11000,825,1000,0.825,282,0.282,107,0.107,63
10612,9728,884,2272,21,12000,832,1000,0.832,266,0.266,98,0.098,63
11417,10421,996,2579,22,13000,805,1000,0.805,307,0.307,112,0.112,63
12218,11106,1112,2894,23,14000,801,1000,0.801,315,0.315,116,0.116,63
12999,11768,1231,3232,24,15000,781,1000,0.781,338,0.338,119,0.119,63
13772,12412,1360,3588,25,16000,773,1000,0.773,356,0.356,129,0.129,63
14539,13067,1472,3933,26,17000,767,1000,0.767,345,0.345,112,0.112,63
15333,13757,1576,4243,27,18000,794,1000,0.794,310,0.31,104,0.104,63
16114,14414,1700,4586,28,19000,781,1000,0.781,343,0.343,124,0.124,63
16858,15017,1841,4983,29,20000,744,1000,0.744,397,0.397,141,0.141,63
17585,15586,1999,5414,30,21000,727,1000,0.727,431,0.431,158,0.158,63
18330,16203,2127,5797,31,22000,745,1000,0.745,383,0.383,128,0.128,63
19041,16760,2281,6240,32,23000,711,1000,0.711,443,0.443,154,0.154,63
19760,17335,2425,6665,33,24000,719,1000,0.719,425,0.425,144,0.144,63
20477,17926,2551,7074,34,25000,717,1000,0.717,409,0.409,126,0.126,63
21181,18472,2709,7528,35,26000,704,1000,0.704,454,0.454,158,0.158,63
21898,19047,2851,7953,36,27000,717,1000,0.717,425,0.425,142,0.142,63
22600,19601,2999,8399,37,28000,702,1000,0.702,446,0.446,148,0.148,63
23311,20167,3144,8833,38,29000,711,1000,0.711,434,0.434,145,0.145,63
23985,20684,3301,9316,39,30000,674,1000,0.674,483,0.483,157,0.157,63
24692,21246,3446,9754,40,31000,707,1000,0.707,438,0.438,145,0.145,63
25407,21824,3583,10176,41,32000,715,1000,0.715,422,0.422,137,0.137,63
26098,22362,3736,10638,42,33000,691,1000,0.691,462,0.462,153,0.153,63
26825,22973,3852,11027,43,34000,727,1000,0.727,389,0.389,116,0.116,63
27502,23489,4013,11511,44,35000,677,1000,0.677,484,0.484,161,0.161,63
28164,24000,4164,12000,45,36000,662,1000,0.662,489,0.489,151,0.151,63
28807,24481,4326,12519,46,37000,643,1000,0.643,519,0.519,162,0.162,63
29485,24988,4497,13012,47,38000,678,1000,0.678,493,0.493,171,0.171,63
30143,25473,4670,13527,48,39000,658,1000,0.658,515,0.515,173,0.173,63
30790,25971,4819,14029,49,40000,647,1000,0.647,502,0.502,149,0.149,63
31434,26476,4958,14524,50,41000,644,1000,0.644,495,0.495,139,0.139,63
32085,26989,5096,15011,51,42000,651,1000,0.651,487,0.487,138,0.138,63
32736,27481,5255,15519,52,43000,651,1000,0.651,508,0.508,159,0.159,63
33389,27964,5425,16036,53,44000,653,1000,0.653,517,0.517,170,0.17,63
34027,28447,5580,16553,54,45000,638,1000,0.638,517,0.517,155,0.155,63
34679,28955,5724,17045,55,46000,652,1000,0.652,492,0.492,144,0.144,63
35321,29454,5867,17546,56,47000,642,1000,0.642,501,0.501,143,0.143,63
35933,29886,6047,18114,57,48000,612,1000,0.612,568,0.568,180,0.18,63
36522,30284,6238,18716,58,49000,589,1000,0.589,602,0.602,191,0.191,63
37159,30759,6400,19241,59,50000,637,1000,0.637,525,0.525,162,0.162,63
37775,31209,6566,19791,60,51000,616,1000,0.616,550,0.55,166,0.166,63
38416,31696,6720,20304,61,52000,641,1000,0.641,513,0.513,154,0.154,63
39051,32166,6885,20834,62,53000,635,1000,0.635,530,0.53,165,0.165,63
39696,32665,7031,21335,63,54000,645,1000,0.645,501,0.501,146,0.146,63
40346,33161,7185,21839,64,55000,650,1000,0.65,504,0.504,154,0.154,63
40928,33569,7359,22431,65,56000,582,1000,0.582,592,0.592,174,0.174,63
41504,33985,7519,23015,66,57000,576,1000,0.576,584,0.584,160,0.16,63
42105,34423,7682,23577,67,58000,601,1000,0.601,562,0.562,163,0.163,63
42688,34835,7853,24165,68,59000,583,1000,0.583,588,0.588,171,0.171,63
43263,35253,8010,24747,69,60000,575,1000,0.575,582,0.582,157,0.157,63
43869,35715,8154,25285,70,61000,606,1000,0.606,538,0.538,144,0.144,63
44449,36118,8331,25882,71,62000,580,1000,0.58,597,0.597,177,0.177,63
45020,36523,8497,26477,72,63000,571,1000,0.571,595,0.595,166,0.166,63
45632,36974,8658,27026,73,64000,612,1000,0.612,549,0.549,161,0.161,63
46187,37357,8830,27643,74,65000,555,1000,0.555,617,0.617,172,0.172,63
46754,37748,9006,28252,75,66000,567,1000,0.567,609,0.609,176,0.176,63
47327,38176,9151,28824,76,67000,573,1000,0.573,572,0.572,145,0.145,63
47913,38602,9311,29398,77,68000,586,1000,0.586,574,0.574,160,0.16,63
48474,38961,9513,30039,78,69000,561,1000,0.561,641,0.641,202,0.202,63
49057,39376,9681,30624,79,70000,583,1000,0.583,585,0.585,168,0.168,63
49591,39730,9861,31270,80,71000,534,1000,0.534,646,0.646,180,0.18,63
50130,40097,10033,31903,81,72000,539,1000,0.539,633,0.633,172,0.172,63
50688,40475,10213,32525,82,73000,558,1000,0.558,622,0.622,180,0.18,63
51255,40873,10382,33127,83,74000,567,1000,0.567,602,0.602,169,0.169,63
51802,41244,10558,33756,84,75000,547,1000,0.547,629,0.629,176,0.176,63
52329,41598,10731,34402,85,76000,527,1000,0.527,646,0.646,173,0.173,63
52847,41951,10896,35049,86,77000,518,1000,0.518,647,0.647,165,0.165,63
53395,42327,11068,35673,87,78000,548,1000,0.548,624,0.624,172,0.172,63
53908,42669,11239,36331,88,79000,513,1000,0.513,658,0.658,171,0.171,63
54434,43023,11411,36977,89,80000,526,1000,0.526,646,0.646,172,0.172,63
54966,43361,11605,37639,90,81000,532,1000,0.532,662,0.662,194,0.194,63
55506,43736,11770,38264,91,82000,540,1000,0.54,625,0.625,165,0.165,63
56051,44129,11922,38871,92,83000,545,1000,0.545,607,0.607,152,0.152,63
56582,44483,12099,39517,93,84000,531,1000,0.531,646,0.646,177,0.177,63
57111,44845,12266,40155,94,85000,529,1000,0.529,638,0.638,167,0.167,63
57648,45212,12436,40788,95,86000,537,1000,0.537,633,0.633,170,0.17,63
58159,45548,12611,41452,96,87000,511,1000,0.511,664,0.664,175,0.175,63
58675,45910,12765,42090,97,88000,516,1000,0.516,638,0.638,154,0.154,63
59196,46253,12943,42747,98,89000,521,1000,0.521,657,0.657,178,0.178,63
59732,46620,13112,43380,99,90000,536,1000,0.536,633,0.633,169,0.169,63
60267,46996,13271,44004,100,91000,535,1000,0.535,624,0.624,159,0.159,63
60782,47360,13422,44640,101,92000,515,1000,0.515,636,0.636,151,0.151,63
61287,47696,13591,45304,102,93000,505,1000,0.505,664,0.664,169,0.169,63
61825,48074,13751,45926,103,94000,538,1000,0.538,622,0.622,160,0.16,63
62372,48458,13914,46542,104,95000,547,1000,0.547,616,0.616,163,0.163,63
62896,48820,14076,47180,105,96000,524,1000,0.524,638,0.638,162,0.162,63
63401,49167,14234,47833,106,97000,505,1000,0.505,653,0.653,158,0.158,63
63899,49495,14404,48505,107,98000,498,1000,0.498,672,0.672,170,0.17,63
64385,49799,14586,49201,108,99000,486,1000,0.486,696,0.696,182,0.182,63
64888,50121,14767,49879,109,100000,503,1000,0.503,678,0.678,181,0.181,63
65375,50432,14943,50568,110,101000,487,1000,0.487,689,0.689,176,0.176,63
65895,50786,15109,51214,111,102000,520,1000,0.52,646,0.646,166,0.166,63
66402,51130,15272,51870,112,103000,507,1000,0.507,656,0.656,163,0.163,63
66897,51454,15443,52546,113,104000,495,1000,0.495,676,0.676,171,0.171,63
67392,51781,15611,53219,114,105000,495,1000,0.495,673,0.673,168,0.168,63
67869,52071,15798,53929,115,106000,477,1000,0.477,710,0.71,187,0.187,63
68352,52366,15986,54634,116,107000,483,1000,0.483,705,0.705,188,0.188,63
68858,52698,16160,55302,117,108000,506,1000,0.506,668,0.668,174,0.174,63
69313,52964,16349,56036,118,109000,455,1000,0.455,734,0.734,189,0.189,63
69803,53294,16509,56706,119,110000,490,1000,0.49,670,0.67,160,0.16,63
70306,53640,16666,57360,120,111000,503,1000,0.503,654,0.654,157,0.157,63
70809,53985,16824,58015,121,112000,503,1000,0.503,655,0.655,158,0.158,63
71273,54270,17003,58730,122,113000,464,1000,0.464,715,0.715,179,0.179,63
71740,54574,17166,59426,123,114000,467,1000,0.467,696,0.696,163,0.163,63
71869,54638,17231,59660,124,114298,129,298,0.43288590604026844,234,0.785234899328859,65,0.2181208053691275,63
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,64
199,198,1,2,2,200,99,100,0.99,2,0.02,1,0.01,64
298,296,2,4,3,300,99,100,0.99,2,0.02,1,0.01,64
396,392,4,8,4,400,98,100,0.98,4,0.04,2,0.02,64
494,488,6,12,5,500,98,100,0.98,4,0.04,2,0.02,64
591,582,9,18,6,600,97,100,0.97,6,0.06,3,0.03,64
689,679,10,21,7,700,98,100,0.98,3,0.03,1,0.01,64
789,779,10,21,8,800,100,100,1,0,0,0,0,64
886,874,12,26,9,900,97,100,0.97,5,0.05,2,0.02,64
980,963,17,37,10,1000,94,100,0.94,11,0.11,5,0.05,64
1931,1877,54,123,11,2000,951,1000,0.951,86,0.086,37,0.037,64
2880,2790,90,210,12,3000,949,1000,0.949,87,0.087,36,0.036,64
3800,3658,142,342,13,4000,920,1000,0.92,132,0.132,52,0.052,64
4706,4496,210,504,14,5000,906,1000,0.906,162,0.162,68,0.068,64
5576,5290,286,710,15,6000,870,1000,0.87,206,0.206,76,0.076,64
6449,6079,370,921,16,7000,873,1000,0.873,211,0.211,84,0.084,64
7321,6871,450,1129,17,8000,872,1000,0.872,208,0.208,80,0.08,64
8161,7596,565,1404,18,9000,840,1000,0.84,275,0.275,115,0.115,64
9006,8349,657,1651,19,10000,845,1000,0.845,247,0.247,92,0.092,64
9843,9085,758,1915,20,11000,837,1000,0.837,264,0.264,101,0.101,64
10668,9801,867,2199,21,12000,825,1000,0.825,284,0.284,109,0.109,64
11506,10547,959,2453,22,13000,838,1000,0.838,254,0.254,92,0.092,64
12316,11246,1070,2754,23,14000,810,1000,0.81,301,0.301,111,0.111,64
13105,11916,1189,3084,24,15000,789,1000,0.789,330,0.33,119,0.119,64
13895,12580,1315,3420,25,16000,790,1000,0.79,336,0.336,126,0.126,64
14689,13249,1440,3751,26,17000,794,1000,0.794,331,0.331,125,0.125,64
15443,13869,1574,4131,27,18000,754,1000,0.754,380,0.38,134,0.134,64
16204,14507,1697,4493,28,19000,761,1000,0.761,362,0.362,123,0.123,64
16956,15126,1830,4874,29,20000,752,1000,0.752,381,0.381,133,0.133,64
17685,15718,1967,5282,30,21000,729,1000,0.729,408,0.408,137,0.137,64
18407,16296,2111,5704,31,22000,722,1000,0.722,422,0.422,144,0.144,64
19154,16905,2249,6095,32,23000,747,1000,0.747,391,0.391,138,0.138,64
19869,17487,2382,6513,33,24000,715,1000,0.715,418,0.418,133,0.133,64
20617,18102,2515,6898,34,25000,748,1000,0.748,385,0.385,133,0.133,64
21339,18680,2659,7320,35,26000,722,1000,0.722,422,0.422,144,0.144,64
22059,19249,2810,7751,36,27000,720,1000,0.72,431,0.431,151,0.151,64
22768,19809,2959,8191,37,28000,709,1000,0.709,440,0.44,149,0.149,64
23480,20383,3097,8617,38,29000,712,1000,0.712,426,0.426,138,0.138,64
24201,20980,3221,9020,39,30000,721,1000,0.721,403,0.403,124,0.124,64
24903,21554,3349,9446,40,31000,702,1000,0.702,426,0.426,128,0.128,64
25593,22088,3505,9912,41,32000,690,1000,0.69,466,0.466,156,0.156,64
26277,22626,3651,10374,42,33000,684,1000,0.684,462,0.462,146,0.146,64
26980,23192,3788,10808,43,34000,703,1000,0.703,434,0.434,137,0.137,64
27690,23769,3921,11231,44,35000,710,1000,0.71,423,0.423,133,0.133,64
28356,24274,4082,11726,45,36000,666,1000,0.666,495,0.495,161,0.161,64
29015,24783,4232,12217,46,37000,659,1000,0.659,491,0.491,150,0.15,64
29666,25248,4418,12752,47,38000,651,1000,0.651,535,0.535,186,0.186,64
30325,25741,4584,13259,48,39000,659,1000,0.659,507,0.507,166,0.166,64
30974,26237,4737,13763,49,40000,649,1000,0.649,504,0.504,153,0.153,64
31626,26736,4890,14264,50,41000,652,1000,0.652,501,0.501,153,0.153,64
32271,27214,5057,14786,51,42000,645,1000,0.645,522,0.522,167,0.167,64
32922,27709,5213,15291,52,43000,651,1000,0.651,505,0.505,156,0.156,64
33548,28172,5376,15828,53,44000,626,1000,0.626,537,0.537,163,0.163,64
34189,28646,5543,16354,54,45000,641,1000,0.641,526,0.526,167,0.167,64
34799,29071,5728,16929,55,46000,610,1000,0.61,575,0.575,185,0.185,64
35420,29528,5892,17472,56,47000,621,1000,0.621,543,0.543,164,0.164,64
36026,29963,6063,18037,57,48000,606,1000,0.606,565,0.565,171,0.171,64
36638,30417,6221,18583,58,49000,612,1000,0.612,546,0.546,158,0.158,64
37258,30870,6388,19130,59,50000,620,1000,0.62,547,0.547,167,0.167,64
37894,31359,6535,19641,60,51000,636,1000,0.636,511,0.511,147,0.147,64
38482,31773,6709,20227,61,52000,588,1000,0.588,586,0.586,174,0.174,64
39077,32202,6875,20798,62,53000,595,1000,0.595,571,0.571,166,0.166,64
39669,32620,7049,21380,63,54000,592,1000,0.592,582,0.582,174,0.174,64
40255,33034,7221,21966,64,55000,586,1000,0.586,586,0.586,172,0.172,64
40863,33476,7387,22524,65,56000,608,1000,0.608,558,0.558,166,0.166,64
41457,33934,7523,23066,66,57000,594,1000,0.594,542,0.542,136,0.136,64
42028,34343,7685,23657,67,58000,571,1000,0.571,591,0.591,162,0.162,64
42615,34767,7848,24233,68,59000,587,1000,0.587,576,0.576,163,0.163,64
43197,35188,8009,24812,69,60000,582,1000,0.582,579,0.579,161,0.161,64
43788,35616,8172,25384,70,61000,591,1000,0.591,572,0.572,163,0.163,64
44371,36025,8346,25975,71,62000,583,1000,0.583,591,0.591,174,0.174,64
44948,36435,8513,26565,72,63000,577,1000,0.577,590,0.59,167,0.167,64
45552,36883,8669,27117,73,64000,604,1000,0.604,552,0.552,156,0.156,64
46089,37253,8836,27747,74,65000,537,1000,0.537,630,0.63,167,0.167,64
46664,37657,9007,28343,75,66000,575,1000,0.575,596,0.596,171,0.171,64
47221,38056,9165,28944,76,67000,557,1000,0.557,601,0.601,158,0.158,64
47777,38441,9336,29559,77,68000,556,1000,0.556,615,0.615,171,0.171,64
48334,38812,9522,30188,78,69000,557,1000,0.557,629,0.629,186,0.186,64
48917,39228,9689,30772,79,70000,583,1000,0.583,584,0.584,167,0.167,64
49475,39609,9866,31391,80,71000,558,1000,0.558,619,0.619,177,0.177,64
50018,39970,10048,32030,81,72000,543,1000,0.543,639,0.639,182,0.182,64
50581,40363,10218,32637,82,73000,563,1000,0.563,607,0.607,170,0.17,64
51149,40770,10379,33230,83,74000,568,1000,0.568,593,0.593,161,0.161,64
51726,41187,10539,33813,84,75000,577,1000,0.577,583,0.583,160,0.16,64
52280,41576,10704,34424,85,76000,554,1000,0.554,611,0.611,165,0.165,64
52793,41919,10874,35081,86,77000,513,1000,0.513,657,0.657,170,0.17,64
53333,42310,11023,35690,87,78000,540,1000,0.54,609,0.609,149,0.149,64
53873,42683,11190,36317,88,79000,540,1000,0.54,627,0.627,167,0.167,64
54416,43074,11342,36926,89,80000,543,1000,0.543,609,0.609,152,0.152,64
54944,43412,11532,37588,90,81000,528,1000,0.528,662,0.662,190,0.19,64
55441,43739,11702,38261,91,82000,497,1000,0.497,673,0.673,170,0.17,64
55973,44104,11869,38896,92,83000,532,1000,0.532,635,0.635,167,0.167,64
56496,44446,12050,39554,93,84000,523,1000,0.523,658,0.658,181,0.181,64
57013,44786,12227,40214,94,85000,517,1000,0.517,660,0.66,177,0.177,64
57554,45155,12399,40845,95,86000,541,1000,0.541,631,0.631,172,0.172,64
58112,45555,12557,41445,96,87000,558,1000,0.558,600,0.6,158,0.158,64
58641,45921,12720,42079,97,88000,529,1000,0.529,634,0.634,163,0.163,64
59139,46228,12911,42772,98,89000,498,1000,0.498,693,0.693,191,0.191,64
59671,46603,13068,43397,99,90000,532,1000,0.532,625,0.625,157,0.157,64
60170,46927,13243,44073,100,91000,499,1000,0.499,676,0.676,175,0.175,64
60686,47250,13436,44750,101,92000,516,1000,0.516,677,0.677,193,0.193,64
61232,47635,13597,45365,102,93000,546,1000,0.546,615,0.615,161,0.161,64
61754,48001,13753,45999,103,94000,522,1000,0.522,634,0.634,156,0.156,64
62290,48358,13932,46642,104,95000,536,1000,0.536,643,0.643,179,0.179,64
62812,48723,14089,47277,105,96000,522,1000,0.522,635,0.635,157,0.157,64
63312,49080,14232,47920,106,97000,500,1000,0.5,643,0.643,143,0.143,64
63825,49419,14406,48581,107,98000,513,1000,0.513,661,0.661,174,0.174,64
64311,49730,14581,49270,108,99000,486,1000,0.486,689,0.689,175,0.175,64
64813,50073,14740,49927,109,100000,502,1000,0.502,657,0.657,159,0.159,64
65313,50413,14900,50587,110,101000,500,1000,0.5,660,0.66,160,0.16,64
65842,50767,15075,51233,111,102000,529,1000,0.529,646,0.646,175,0.175,64
66323,51069,15254,51931,112,103000,481,1000,0.481,698,0.698,179,0.179,64
66845,51424,15421,52576,113,104000,522,1000,0.522,645,0.645,167,0.167,64
67333,51737,15596,53263,114,105000,488,1000,0.488,687,0.687,175,0.175,64
67836,52062,15774,53938,115,106000,503,1000,0.503,675,0.675,178,0.178,64
68320,52383,15937,54617,116,107000,484,1000,0.484,679,0.679,163,0.163,64
68794,52673,16121,55327,117,108000,474,1000,0.474,710,0.71,184,0.184,64
69274,52977,16297,56023,118,109000,480,1000,0.48,696,0.696,176,0.176,64
69760,53288,16472,56712,119,110000,486,1000,0.486,689,0.689,175,0.175,64
70269,53637,16632,57363,120,111000,509,1000,0.509,651,0.651,160,0.16,64
70722,53894,16828,58106,121,112000,453,1000,0.453,743,0.743,196,0.196,64
71230,54223,17007,58777,122,113000,508,1000,0.508,671,0.671,179,0.179,64
71712,54530,17182,59470,123,114000,482,1000,0.482,693,0.693,175,0.175,64
71869,54638,17231,59660,124,114298,157,298,0.5268456375838926,190,0.6375838926174496,49,0.1644295302013423,64
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,65
199,198,1,2,2,200,99,100,0.99,2,0.02,1,0.01,65
299,298,1,2,3,300,100,100,1,0,0,0,0,65
395,390,5,10,4,400,96,100,0.96,8,0.08,4,0.04,65
492,485,7,15,5,500,97,100,0.97,5,0.05,2,0.02,65
592,585,7,15,6,600,100,100,1,0,0,0,0,65
691,683,8,17,7,700,99,100,0.99,2,0.02,1,0.01,65
790,781,9,19,8,800,99,100,0.99,2,0.02,1,0.01,65
885,871,14,29,9,900,95,100,0.95,10,0.1,5,0.05,65
982,965,17,35,10,1000,97,100,0.97,6,0.06,3,0.03,65
1935,1884,51,116,11,2000,953,1000,0.953,81,0.081,34,0.034,65
2859,2758,101,242,12,3000,924,1000,0.924,126,0.126,50,0.05,65
3783,3631,152,369,13,4000,924,1000,0.924,127,0.127,51,0.051,65
4684,4468,216,532,14,5000,901,1000,0.901,163,0.163,64,0.064,65
5587,5312,275,688,15,6000,903,1000,0.903,156,0.156,59,0.059,65
6459,6102,357,898,16,7000,872,1000,0.872,210,0.21,82,0.082,65
7319,6875,444,1125,17,8000,860,1000,0.86,227,0.227,87,0.087,65
8178,7641,537,1359,18,9000,859,1000,0.859,234,0.234,93,0.093,65
9027,8399,628,1601,19,10000,849,1000,0.849,242,0.242,91,0.091,65
9858,9128,730,1872,20,11000,831,1000,0.831,271,0.271,102,0.102,65
10674,9838,836,2162,21,12000,816,1000,0.816,290,0.29,106,0.106,65
