n_clusters,n_singletons,n_non_singletons,n_seq_non_singletons,i_subsample_step,curr_subsample_step,n_new_clusters,n_new_samples,n_new_clusters_per_sample,n_new_seq_non_singleton,n_new_seq_non_singleton_per_sample,n_new_clusters_non_singleton,n_new_clusters_non_singleton_per_sample,i_subsample
67829,51992,15837,54008,115,106000,471,1000,0.471,702,0.702,173,0.173,1
68285,52265,16020,54735,116,107000,456,1000,0.456,727,0.727,183,0.183,1
68754,52549,16205,55451,117,108000,469,1000,0.469,716,0.716,185,0.185,1
69252,52875,16377,56125,118,109000,498,1000,0.498,674,0.674,172,0.172,1
69738,53180,16558,56820,119,110000,486,1000,0.486,695,0.695,181,0.181,1
70249,53540,16709,57460,120,111000,511,1000,0.511,640,0.64,151,0.151,1
70743,53871,16872,58129,121,112000,494,1000,0.494,669,0.669,163,0.163,1
71209,54185,17024,58815,122,113000,466,1000,0.466,686,0.686,152,0.152,1
71714,54528,17186,59472,123,114000,505,1000,0.505,657,0.657,162,0.162,1
71869,54638,17231,59660,124,114298,155,298,0.5201342281879194,188,0.6308724832214765,45,0.15100671140939598,1
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,2
200,200,0,0,2,200,100,100,1,0,0,0,0,2
297,295,2,5,3,300,97,100,0.97,5,0.05,2,0.02,2
396,393,3,7,4,400,99,100,0.99,2,0.02,1,0.01,2
494,490,4,10,5,500,98,100,0.98,3,0.03,1,0.01,2
593,588,5,12,6,600,99,100,0.99,2,0.02,1,0.01,2
692,686,6,14,7,700,99,100,0.99,2,0.02,1,0.01,2
791,785,6,15,8,800,99,100,0.99,1,0.01,0,0,2
885,873,12,27,9,900,94,100,0.94,12,0.12,6,0.06,2
983,970,13,30,10,1000,98,100,0.98,3,0.03,1,0.01,2
1940,1892,48,108,11,2000,957,1000,0.957,78,0.078,35,0.035,2
2889,2802,87,198,12,3000,949,1000,0.949,90,0.09,39,0.039,2
3794,3635,159,365,13,4000,905,1000,0.905,167,0.167,72,0.072,2
4697,4479,218,521,14,5000,903,1000,0.903,156,0.156,59,0.059,2
5587,5299,288,701,15,6000,890,1000,0.89,180,0.18,70,0.07,2
6463,6091,372,909,16,7000,876,1000,0.876,208,0.208,84,0.084,2
7305,6828,477,1172,17,8000,842,1000,0.842,263,0.263,105,0.105,2
8154,7580,574,1420,18,9000,849,1000,0.849,248,0.248,97,0.097,2
8990,8322,668,1678,19,10000,836,1000,0.836,258,0.258,94,0.094,2
9813,9055,758,1945,20,11000,823,1000,0.823,267,0.267,90,0.09,2
10627,9762,865,2238,21,12000,814,1000,0.814,293,0.293,107,0.107,2
11433,10442,991,2558,22,13000,806,1000,0.806,320,0.32,126,0.126,2
12264,11176,1088,2824,23,14000,831,1000,0.831,266,0.266,97,0.097,2
13036,11812,1224,3188,24,15000,772,1000,0.772,364,0.364,136,0.136,2
13828,12494,1334,3506,25,16000,792,1000,0.792,318,0.318,110,0.11,2
14611,13164,1447,3836,26,17000,783,1000,0.783,330,0.33,113,0.113,2
15377,13796,1581,4204,27,18000,766,1000,0.766,368,0.368,134,0.134,2
16158,14462,1696,4538,28,19000,781,1000,0.781,334,0.334,115,0.115,2
16921,15074,1847,4926,29,20000,763,1000,0.763,388,0.388,151,0.151,2
17674,15701,1973,5299,30,21000,753,1000,0.753,373,0.373,126,0.126,2
18441,16350,2091,5650,31,22000,767,1000,0.767,351,0.351,118,0.118,2
19173,16952,2221,6048,32,23000,732,1000,0.732,398,0.398,130,0.13,2
19888,17535,2353,6465,33,24000,715,1000,0.715,417,0.417,132,0.132,2
20623,18130,2493,6870,34,25000,735,1000,0.735,405,0.405,140,0.14,2
21319,18684,2635,7316,35,26000,696,1000,0.696,446,0.446,142,0.142,2
22002,19209,2793,7791,36,27000,683,1000,0.683,475,0.475,158,0.158,2
22685,19739,2946,8261,37,28000,683,1000,0.683,470,0.47,153,0.153,2
23372,20283,3089,8717,38,29000,687,1000,0.687,456,0.456,143,0.143,2
24063,20823,3240,9177,39,30000,691,1000,0.691,460,0.46,151,0.151,2
24780,21411,3369,9589,40,31000,717,1000,0.717,412,0.412,129,0.129,2
25502,21991,3511,10009,41,32000,722,1000,0.722,420,0.42,142,0.142,2
26187,22524,3663,10476,42,33000,685,1000,0.685,467,0.467,152,0.152,2
26873,23061,3812,10939,43,34000,686,1000,0.686,463,0.463,149,0.149,2
27544,23594,3950,11406,44,35000,671,1000,0.671,467,0.467,138,0.138,2
28222,24132,4090,11868,45,36000,678,1000,0.678,462,0.462,140,0.14,2
28878,24621,4257,12379,46,37000,656,1000,0.656,511,0.511,167,0.167,2
29520,25091,4429,12909,47,38000,642,1000,0.642,530,0.53,172,0.172,2
30200,25622,4578,13378,48,39000,680,1000,0.68,469,0.469,149,0.149,2
30861,26128,4733,13872,49,40000,661,1000,0.661,494,0.494,155,0.155,2
31500,26600,4900,14400,50,41000,639,1000,0.639,528,0.528,167,0.167,2
32112,27046,5066,14954,51,42000,612,1000,0.612,554,0.554,166,0.166,2
32753,27539,5214,15461,52,43000,641,1000,0.641,507,0.507,148,0.148,2
33404,28043,5361,15957,53,44000,651,1000,0.651,496,0.496,147,0.147,2
34055,28533,5522,16467,54,45000,651,1000,0.651,510,0.51,161,0.161,2
34708,29013,5695,16987,55,46000,653,1000,0.653,520,0.52,173,0.173,2
35351,29506,5845,17494,56,47000,643,1000,0.643,507,0.507,150,0.15,2
35986,29973,6013,18027,57,48000,635,1000,0.635,533,0.533,168,0.168,2
36629,30459,6170,18541,58,49000,643,1000,0.643,514,0.514,157,0.157,2
37229,30890,6339,19110,59,50000,600,1000,0.6,569,0.569,169,0.169,2
37850,31357,6493,19643,60,51000,621,1000,0.621,533,0.533,154,0.154,2
38480,31839,6641,20161,61,52000,630,1000,0.63,518,0.518,148,0.148,2
39083,32298,6785,20702,62,53000,603,1000,0.603,541,0.541,144,0.144,2
39676,32746,6930,21254,63,54000,593,1000,0.593,552,0.552,145,0.145,2
40320,33226,7094,21774,64,55000,644,1000,0.644,520,0.52,164,0.164,2
40921,33665,7256,22335,65,56000,601,1000,0.601,561,0.561,162,0.162,2
41528,34106,7422,22894,66,57000,607,1000,0.607,559,0.559,166,0.166,2
42107,34511,7596,23489,67,58000,579,1000,0.579,595,0.595,174,0.174,2
42688,34898,7790,24102,68,59000,581,1000,0.581,613,0.613,194,0.194,2
43270,35310,7960,24690,69,60000,582,1000,0.582,588,0.588,170,0.17,2
43841,35711,8130,25289,70,61000,571,1000,0.571,599,0.599,170,0.17,2
44410,36112,8298,25888,71,62000,569,1000,0.569,599,0.599,168,0.168,2
45006,36541,8465,26459,72,63000,596,1000,0.596,571,0.571,167,0.167,2
45587,36965,8622,27035,73,64000,581,1000,0.581,576,0.576,157,0.157,2
46168,37378,8790,27622,74,65000,581,1000,0.581,587,0.587,168,0.168,2
46732,37764,8968,28236,75,66000,564,1000,0.564,614,0.614,178,0.178,2
47303,38167,9136,28833,76,67000,571,1000,0.571,597,0.597,168,0.168,2
47868,38569,9299,29431,77,68000,565,1000,0.565,598,0.598,163,0.163,2
48414,38963,9451,30037,78,69000,546,1000,0.546,606,0.606,152,0.152,2
48980,39332,9648,30668,79,70000,566,1000,0.566,631,0.631,197,0.197,2
49551,39733,9818,31267,80,71000,571,1000,0.571,599,0.599,170,0.17,2
50124,40151,9973,31849,81,72000,573,1000,0.573,582,0.582,155,0.155,2
50686,40547,10139,32453,82,73000,562,1000,0.562,604,0.604,166,0.166,2
51244,40941,10303,33059,83,74000,558,1000,0.558,606,0.606,164,0.164,2
51808,41329,10479,33671,84,75000,564,1000,0.564,612,0.612,176,0.176,2
52338,41684,10654,34316,85,76000,530,1000,0.53,645,0.645,175,0.175,2
52864,42024,10840,34976,86,77000,526,1000,0.526,660,0.66,186,0.186,2
53431,42437,10994,35563,87,78000,567,1000,0.567,587,0.587,154,0.154,2
54004,42840,11164,36160,88,79000,573,1000,0.573,597,0.597,170,0.17,2
54556,43239,11317,36761,89,80000,552,1000,0.552,601,0.601,153,0.153,2
55091,43598,11493,37402,90,81000,535,1000,0.535,641,0.641,176,0.176,2
55638,43973,11665,38027,91,82000,547,1000,0.547,625,0.625,172,0.172,2
56187,44354,11833,38646,92,83000,549,1000,0.549,619,0.619,168,0.168,2
56724,44717,12007,39283,93,84000,537,1000,0.537,637,0.637,174,0.174,2
57234,45052,12182,39948,94,85000,510,1000,0.51,665,0.665,175,0.175,2
57777,45446,12331,40554,95,86000,543,1000,0.543,606,0.606,149,0.149,2
58274,45768,12506,41232,96,87000,497,1000,0.497,678,0.678,175,0.175,2
58798,46136,12662,41864,97,88000,524,1000,0.524,632,0.632,156,0.156,2
59307,46470,12837,42530,98,89000,509,1000,0.509,666,0.666,175,0.175,2
59829,46816,13013,43184,99,90000,522,1000,0.522,654,0.654,176,0.176,2
60337,47160,13177,43840,100,91000,508,1000,0.508,656,0.656,164,0.164,2
60853,47501,13352,44499,101,92000,516,1000,0.516,659,0.659,175,0.175,2
61358,47840,13518,45160,102,93000,505,1000,0.505,661,0.661,166,0.166,2
61837,48126,13711,45874,103,94000,479,1000,0.479,714,0.714,193,0.193,2
