group_1,group_2,median_RR,lower_RR,upper_RR,RR,is_prison_1,is_prison_2
98528,98388,0,0,0,0,TRUE,FALSE
98528,98390,0.9519514575858592,0,2.26449327274632,0.7645037466802972,TRUE,FALSE
98528,98391,1.2861876572897841,0.3652280829840063,1.9913754602095854,1.2517337656086427,TRUE,FALSE
98528,98394,0,0,0,0,TRUE,FALSE
98528,98396,0,0,0,0,TRUE,FALSE
98528,98402,1.4928109510305871,0,3.5854761926900443,1.3104670109705905,TRUE,FALSE
98528,98403,0,0,0,0,TRUE,FALSE
98528,98404,3.7436007190654044,0,9.581035479262564,3.7152242497721213,TRUE,FALSE
98528,98405,0.9996006772825821,0,1.6907579740358223,0.9263997332127384,TRUE,FALSE
98528,98406,2.422785993992545,0,5.943031811877449,2.0899597973720345,TRUE,FALSE
98528,98407,0,0,0,0,TRUE,FALSE
98528,98408,0.7332300163224574,0,1.9033041123532422,0.5950446212640653,TRUE,FALSE
98528,98409,0.5095890401329788,0,0.7955750129351215,0.40307377185672605,TRUE,FALSE
98528,98416,0,0,0,0,TRUE,FALSE
98528,98418,11.115345240035268,0,68.7766610553638,10.474287024143484,TRUE,FALSE
98528,98421,0,0,0,0,TRUE,FALSE
98528,98422,0,0,0,0,TRUE,FALSE
98528,98424,0,0,0,0,TRUE,FALSE
98528,98433,0,0,0,0,TRUE,FALSE
98528,98438,0,0,0,0,TRUE,FALSE
98528,98439,0,0,0,0,TRUE,FALSE
98528,98443,0,0,0,0,TRUE,FALSE
98528,98444,0.6823200125892446,0,1.1787936705556195,0.5642739234419616,TRUE,FALSE
98528,98445,2.7022772067426306,0,7.458919106939482,2.4762883983139137,TRUE,FALSE
98528,98446,0,0,0,0,TRUE,FALSE
98528,98447,0,0,0,0,TRUE,FALSE
98528,98465,0,0,0,0,TRUE,FALSE
98528,98466,0.8324704794500116,0,1.347147789328564,0.6696180612669086,TRUE,FALSE
98528,98467,3.6214940537797116,0,7.48771867223208,3.142994307853197,TRUE,FALSE
98528,98498,0,0,0,0,TRUE,FALSE
98528,98499,1.0527520304526639,0,1.8751564053509582,1.014023947758579,TRUE,FALSE
98528,98558,0,0,0,0,TRUE,FALSE
98528,98580,0,0,0,0,TRUE,FALSE
98546,98303,0,0,0,0,FALSE,FALSE
98546,98304,0,0,0,0,FALSE,FALSE
98546,98321,16.58630067423676,0,35.43617769828726,15.391111874892593,FALSE,FALSE
98546,98323,0,0,0,0,FALSE,FALSE
98546,98327,0,0,0,0,FALSE,FALSE
98546,98328,0,0,0,0,FALSE,FALSE
98546,98329,0,0,0,0,FALSE,FALSE
98546,98332,0,0,0,0,FALSE,TRUE
98546,98333,0,0,0,0,FALSE,FALSE
98546,98335,0,0,0,0,FALSE,FALSE
98546,98338,0,0,0,0,FALSE,FALSE
98546,98349,0,0,0,0,FALSE,FALSE
98546,98351,0,0,0,0,FALSE,FALSE
98546,98354,0,0,0,0,FALSE,FALSE
98546,98360,0,0,0,0,FALSE,FALSE
98546,98371,0,0,0,0,FALSE,FALSE
98546,98372,0,0,0,0,FALSE,FALSE
98546,98373,0,0,0,0,FALSE,FALSE
98546,98374,0,0,0,0,FALSE,FALSE
98546,98375,0,0,0,0,FALSE,FALSE
98546,98385,0,0,0,0,FALSE,FALSE
98546,98387,0,0,0,0,FALSE,FALSE
98546,98388,0,0,0,0,FALSE,FALSE
98546,98390,0,0,0,0,FALSE,FALSE
98546,98391,0,0,0,0,FALSE,FALSE
98546,98394,0,0,0,0,FALSE,FALSE
98546,98396,0,0,0,0,FALSE,FALSE
98546,98402,0,0,0,0,FALSE,FALSE
98546,98403,0,0,0,0,FALSE,FALSE
98546,98404,0,0,0,0,FALSE,FALSE
98546,98405,0,0,0,0,FALSE,FALSE
98546,98406,0,0,0,0,FALSE,FALSE
98546,98407,0,0,0,0,FALSE,FALSE
98546,98408,0,0,0,0,FALSE,FALSE
98546,98409,0,0,0,0,FALSE,FALSE
98546,98416,0,0,0,0,FALSE,FALSE
98546,98418,0,0,0,0,FALSE,FALSE
98546,98421,0,0,0,0,FALSE,FALSE
98546,98422,0,0,0,0,FALSE,FALSE
98546,98424,0,0,0,0,FALSE,FALSE
98546,98433,0,0,0,0,FALSE,FALSE
98546,98438,0,0,0,0,FALSE,FALSE
98546,98439,0,0,0,0,FALSE,FALSE
98546,98443,0,0,0,0,FALSE,FALSE
98546,98444,0,0,0,0,FALSE,FALSE
98546,98445,0,0,0,0,FALSE,FALSE
98546,98446,0,0,0,0,FALSE,FALSE
98546,98447,0,0,0,0,FALSE,FALSE
98546,98465,0,0,0,0,FALSE,FALSE
98546,98466,0,0,0,0,FALSE,FALSE
98546,98467,0,0,0,0,FALSE,FALSE
98546,98498,0,0,0,0,FALSE,FALSE
98546,98499,9.536351544306061,0,20.1593827033874,8.49428756238346,FALSE,FALSE
98546,98558,0,0,0,0,FALSE,FALSE
98546,98580,0,0,0,0,FALSE,FALSE
98548,98303,0,0,0,0,FALSE,FALSE
98548,98304,0,0,0,0,FALSE,FALSE
98548,98321,0,0,0,0,FALSE,FALSE
98548,98323,0,0,0,0,FALSE,FALSE
98548,98327,0,0,0,0,FALSE,FALSE
98548,98328,0,0,0,0,FALSE,FALSE
98548,98329,0,0,0,0,FALSE,FALSE
98548,98332,0,0,0,0,FALSE,TRUE
98548,98333,0,0,0,0,FALSE,FALSE
98548,98335,0,0,0,0,FALSE,FALSE
98548,98338,0,0,0,0,FALSE,FALSE
98548,98349,0,0,0,0,FALSE,FALSE
98548,98351,0,0,0,0,FALSE,FALSE
98548,98354,0,0,0,0,FALSE,FALSE
98548,98360,0,0,0,0,FALSE,FALSE
98548,98371,0,0,0,0,FALSE,FALSE
98548,98372,0,0,0,0,FALSE,FALSE
98548,98373,28.966993549608333,0,68.68537304823369,26.169027582982704,FALSE,FALSE
98548,98374,0,0,0,0,FALSE,FALSE
98548,98375,0,0,0,0,FALSE,FALSE
98548,98385,0,0,0,0,FALSE,FALSE
98548,98387,8.791721681577005,0,20.833621210659675,7.512992416616335,FALSE,FALSE
98548,98388,0,0,0,0,FALSE,FALSE
98548,98390,0,0,0,0,FALSE,FALSE
98548,98391,15.178182089314774,0,27.04158272322008,14.470042330435907,FALSE,FALSE
98548,98394,0,0,0,0,FALSE,FALSE
98548,98396,0,0,0,0,FALSE,FALSE
98548,98402,0,0,0,0,FALSE,FALSE
98548,98403,0,0,0,0,FALSE,FALSE
98548,98404,0,0,0,0,FALSE,FALSE
98548,98405,0,0,0,0,FALSE,FALSE
98548,98406,33.2018951158886,0,109.78599052561627,30.1999190720259,FALSE,FALSE
98548,98407,0,0,0,0,FALSE,FALSE
98548,98408,0,0,0,0,FALSE,FALSE
98548,98409,0,0,0,0,FALSE,FALSE
98548,98416,0,0,0,0,FALSE,FALSE
98548,98418,0,0,0,0,FALSE,FALSE
98548,98421,0,0,0,0,FALSE,FALSE
98548,98422,0,0,0,0,FALSE,FALSE
98548,98424,0,0,0,0,FALSE,FALSE
98548,98433,0,0,0,0,FALSE,FALSE
98548,98438,0,0,0,0,FALSE,FALSE
98548,98439,0,0,0,0,FALSE,FALSE
98548,98443,0,0,0,0,FALSE,FALSE
98548,98444,0,0,0,0,FALSE,FALSE
98548,98445,0,0,0,0,FALSE,FALSE
98548,98446,0,0,0,0,FALSE,FALSE
98548,98447,0,0,0,0,FALSE,FALSE
98548,98465,0,0,0,0,FALSE,FALSE
98548,98466,0,0,0,0,FALSE,FALSE
98548,98467,0,0,0,0,FALSE,FALSE
98548,98498,0,0,0,0,FALSE,FALSE
98548,98499,0,0,0,0,FALSE,FALSE
98548,98558,0,0,0,0,FALSE,FALSE
98548,98580,0,0,0,0,FALSE,FALSE
98560,98303,0,0,0,0,FALSE,FALSE
98560,98304,0,0,0,0,FALSE,FALSE
98560,98321,0,0,0,0,FALSE,FALSE
98560,98323,0,0,0,0,FALSE,FALSE
98560,98327,0,0,0,0,FALSE,FALSE
98560,98328,0,0,0,0,FALSE,FALSE
98560,98329,0,0,0,0,FALSE,FALSE
98560,98332,0,0,0,0,FALSE,TRUE
98560,98333,0,0,0,0,FALSE,FALSE
98560,98335,0,0,0,0,FALSE,FALSE
98560,98338,0,0,0,0,FALSE,FALSE
98560,98349,0,0,0,0,FALSE,FALSE
98560,98351,0,0,0,0,FALSE,FALSE
98560,98354,0,0,0,0,FALSE,FALSE
98560,98360,0,0,0,0,FALSE,FALSE
98560,98371,0,0,0,0,FALSE,FALSE
98560,98372,0,0,0,0,FALSE,FALSE
98560,98373,0,0,0,0,FALSE,FALSE
98560,98374,0,0,0,0,FALSE,FALSE
98560,98375,0,0,0,0,FALSE,FALSE
98560,98385,0,0,0,0,FALSE,FALSE
98560,98387,0,0,0,0,FALSE,FALSE
98560,98388,0,0,0,0,FALSE,FALSE
98560,98390,0,0,0,0,FALSE,FALSE
98560,98391,0,0,0,0,FALSE,FALSE
98560,98394,0,0,0,0,FALSE,FALSE
98560,98396,0,0,0,0,FALSE,FALSE
98560,98402,0,0,0,0,FALSE,FALSE
98560,98403,0,0,0,0,FALSE,FALSE
98560,98404,0,0,0,0,FALSE,FALSE
98560,98405,0,0,0,0,FALSE,FALSE
98560,98406,0,0,0,0,FALSE,FALSE
98560,98407,0,0,0,0,FALSE,FALSE
98560,98408,0,0,0,0,FALSE,FALSE
98560,98409,0,0,0,0,FALSE,FALSE
98560,98416,0,0,0,0,FALSE,FALSE
98560,98418,0,0,0,0,FALSE,FALSE
98560,98421,0,0,0,0,FALSE,FALSE
98560,98422,0,0,0,0,FALSE,FALSE
98560,98424,0,0,0,0,FALSE,FALSE
98560,98433,0,0,0,0,FALSE,FALSE
98560,98438,0,0,0,0,FALSE,FALSE
98560,98439,0,0,0,0,FALSE,FALSE
98560,98443,0,0,0,0,FALSE,FALSE
98560,98444,0,0,0,0,FALSE,FALSE
98560,98445,0,0,0,0,FALSE,FALSE
