days,central_mean_max_dist_null,lower_mean_max_dist_null,upper_mean_max_dist_null,central_prop_outside_zip_null,lower_prop_outside_zip_null,upper_prop_outside_zip_null,central_prop_outside_county_null,lower_prop_outside_county_null,upper_prop_outside_county_null
19,145.8224680057355,144.29216733473777,147.4342735803121,0.8432550315121741,0.8417117966488503,0.8444713733814991,0.6873760404401423,0.681868936950744,0.692849390731374
20,148.26091210191362,146.7536764740873,149.9369889713783,0.8548806609547124,0.8533774222248847,0.8560939000190619,0.6975956119301792,0.6916708864580773,0.7033532817204382
21,150.693645846682,149.19523567067287,152.289260875852,0.86557289546884,0.8641214484482007,0.8668502456478464,0.7069189646273167,0.7009247802647498,0.7124571891599027
22,152.652006831513,151.20624864206883,154.30992815710255,0.8747131704464663,0.8732096652830563,0.8759592126753393,0.7148674306341396,0.7093842748993957,0.7200250069153749
23,154.4621468834111,153.03383841024151,156.14522719866693,0.8832370819784847,0.8818691659120759,0.8844156284746718,0.7223784031418672,0.7171316897233504,0.7273859975910639
24,155.96788689611412,154.4462078901205,157.7975680662928,0.8900829921519177,0.8887731257191736,0.8913275282500361,0.7285297573708676,0.7232440037087723,0.7334757595359767
25,157.53738127882502,155.94908135082045,159.39878299315254,0.8973260382024679,0.8959612639297272,0.8986746596638584,0.7349171753527284,0.729642903252286,0.7397518491625649
26,158.97819397872837,157.38640576313665,160.72147150448626,0.9032603704270626,0.9019645305911992,0.9045715183981857,0.7400951290711775,0.7348330654886144,0.7449110498889624
27,160.46454364065545,158.8552539177113,162.19412688659474,0.9101304053336094,0.9087769328560289,0.9114433342095956,0.7460561377842105,0.7405697835900267,0.7509748375459526
28,161.67303051389447,160.12100227947727,163.43302719564326,0.9153151769829914,0.9139738889908517,0.9167010965115914,0.7506944259007065,0.7452170257295353,0.7558666225766257
29,162.82313470141736,161.26382865597833,164.6780523065192,0.9200902791236547,0.9186893865181683,0.9214056658325938,0.7550206535273064,0.749824081219406,0.7604570036695294
30,163.7115977954105,162.10058031474153,165.57074262256447,0.9239891400008019,0.9225904601659326,0.9253085977143247,0.7584976442859646,0.7533499979421305,0.7640483391909652
31,164.73671930865663,163.14106041114852,166.64681917219735,0.9287954110898662,0.9274147046671182,0.9301135554949507,0.7629290062215976,0.7575997356078806,0.7681562875175634
32,165.5543247318404,163.983668145103,167.42169053939904,0.9324587905846509,0.9310482679471281,0.9337915821349034,0.7661921008964976,0.7609201432449403,0.7712543387819408
33,166.202891239566,164.61990429703502,168.11558542114005,0.9354468621182965,0.933985317254223,0.9368132360943033,0.768666376964164,0.7634718991544761,0.7738120187810319
34,167.02509479916785,165.4948179084452,168.93097942831236,0.9391783337158596,0.9377335437368917,0.9405238035263709,0.7719184720789416,0.7667821296516282,0.7769852370501342
35,167.74492841019952,166.152686108357,169.69525617247498,0.9422385433402188,0.9407954705221659,0.9436258248795711,0.7746651595313581,0.7696357069323261,0.7799987471188289
36,168.56361792388998,166.89433650583322,170.49152974756709,0.9460638053706679,0.9446333969165341,0.9474531219499462,0.7778097904948433,0.7728348278851431,0.7830943522485891
37,169.27373137072715,167.55920928935893,171.1830652717259,0.9494300359574631,0.9479982180984021,0.9507809596749761,0.7806644558372171,0.7755648747713177,0.7854804650247125
38,169.9001199427248,168.18539646088234,171.76442886401216,0.9518782036569505,0.9504093877264339,0.9532304298000163,0.7828951298529979,0.7777566535174082,0.7877275634430387
39,170.39935786350645,168.63160433717528,172.25941295930835,0.954096855634611,0.9526665220314108,0.9554138998563264,0.7848264991033274,0.7797812865738841,0.7895278746730403
40,170.77680640484954,169.09448107983616,172.6696951266409,0.9557799709280086,0.9543438360354849,0.9570979105672914,0.7864654978653884,0.781095147119013,0.7910430508454456
41,171.2977029077379,169.52072248090886,173.18586125308548,0.9578456124244511,0.956408687672071,0.959164650985294,0.7882378451010758,0.7831599514870953,0.7930289450826451
