# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Apr 16 16:33:49 PDT 2024 [seed=1713310427498]
# -threads 4 -save_every 2000000 -beagle xmls/rep-2-seq-density-0.5-unbiased.xml
state	joint	prior	likelihood	region.clock.rate	region.meanRate	region.rates.0.1	region.rates.0.2	region.rates.0.3	region.rates.0.4	region.rates.1.2	region.rates.1.3	region.rates.1.4	region.rates.2.3	region.rates.2.4	region.rates.3.4	region.indicators.0.1	region.indicators.0.2	region.indicators.0.3	region.indicators.0.4	region.indicators.1.2	region.indicators.1.3	region.indicators.1.4	region.indicators.2.3	region.indicators.2.4	region.indicators.3.4	region.nonZeroRates	region.treeLikelihood
290000	-13882.028975353334	-2069.800840896442	-11812.228134456893	0.009574025123400706	0.009574025123400763	0.42608405169256447	0.2915018356024918	0.7628243124413993	0.9547128998177824	1.1762638628795654	0.8306622190050529	1.1917190567308247	1.2073267593536183	2.2313874336531883	2.8704684795897246	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11812.228134456893
300000	-13878.493514772215	-1982.885286522971	-11895.608228249244	0.009159166001582682	0.009159166001582697	0.5419783024240062	0.4551973489727429	0.7889073430482227	1.0421965585698791	1.560734890590057	1.0765795759563308	1.418439111183804	1.56979172021108	2.450236710433638	3.4308762191263567	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11895.608228249244
310000	-13878.61981286481	-1979.4878758778245	-11899.131936986985	0.009150814730969405	0.009150814730969379	0.5476858684170914	0.3133255470836248	0.7670113754329186	1.1076845569554334	1.3970163326944383	0.8902553679312453	1.2613064262331874	1.2530361398021401	2.396655068742276	2.8013551766588054	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11899.131936986985
320000	-13880.151953478584	-2047.967748623345	-11832.184204855239	0.009464310797048446	0.00946431079704849	0.4827123929040402	0.3851746476578571	0.8267371111062686	1.0522195538001413	1.6822019694704327	1.0932898247171383	1.2726758862032534	1.2948097700682284	2.4967658228955543	3.14159628168688	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11832.184204855239
330000	-13879.731774721391	-1960.5593510429505	-11919.172423678441	0.009057868079039006	0.009057868079039114	0.5321645564437693	0.4292865007562542	0.7782701553055247	1.0492690307294912	1.4482377635371722	1.1326363905309498	1.295209544053986	1.4844366783756653	2.335703230926049	3.330544377338817	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11919.172423678441
340000	-13878.031236297735	-1985.6705860185602	-11892.360650279175	0.009173269408703446	0.009173269408703498	0.5234606972016785	0.49573308586874043	0.7371194097012135	1.1272368731053677	1.64092742591522	1.0970908265344723	1.2612898753586814	1.4910406698040977	2.471650450095473	3.238603365304302	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11892.360650279175
350000	-13877.309634330119	-1985.4814542708011	-11891.828180059318	0.009186433550316961	0.009186433550317012	0.4742230163671916	0.32358294400249354	0.6804776940810567	1.000161446477837	1.1548692995665306	0.7755157541989764	1.0081603124514047	1.1184461445602598	1.9857233883401622	2.539976026191526	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11891.828180059318
360000	-13877.975839586443	-2015.221373651501	-11862.754465934942	0.009334166016435446	0.009334166016435445	0.398899092992339	0.26560276933681765	0.46688866624561076	0.8217321843544718	1.0696227285313102	0.644685754870828	0.8955278827328698	0.8613196301067764	1.5205609041723052	2.053467086564101	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11862.754465934942
370000	-13878.367016781542	-1946.6905374487033	-11931.676479332838	0.009009781939345242	0.009009781939345242	0.3074974444205717	0.3841881699405348	0.5513006397636909	0.8090584610524045	1.1420467243242327	0.8366889079611002	0.9052406134809892	1.002498036225991	1.8980152957093532	2.4621025979898166	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11931.676479332838
380000	-13875.320069841031	-1961.552760852157	-11913.767308988874	0.009089765391173038	0.009089765391173083	0.3511450888960489	0.2601514109046676	0.45104591022207785	0.6905915593232678	0.8950036104282002	0.6468720409050449	0.7130637835945972	0.8000235411639456	1.3093124034515766	1.825306740906663	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11913.767308988874
