# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Apr 16 16:33:57 PDT 2024 [seed=1713310435176]
# -threads 4 -save_every 2000000 -beagle xmls/rep-2-seq-density-0.5-biased.xml
state	joint	prior	likelihood	region.clock.rate	region.meanRate	region.rates.0.1	region.rates.0.2	region.rates.0.3	region.rates.0.4	region.rates.1.2	region.rates.1.3	region.rates.1.4	region.rates.2.3	region.rates.2.4	region.rates.3.4	region.indicators.0.1	region.indicators.0.2	region.indicators.0.3	region.indicators.0.4	region.indicators.1.2	region.indicators.1.3	region.indicators.1.4	region.indicators.2.3	region.indicators.2.4	region.indicators.3.4	region.nonZeroRates	region.treeLikelihood
100000	-13916.43423299679	-1746.353928756441	-12170.080304240348	0.008047564168202665	0.008047564168202726	0.04616876482000543	1.3759362908484873	0.4986466577824133	0.8001089923555755	1.6661788116150376	0.14769666012269367	0.3770875851322958	2.8518078933852893	3.6502224798146368	3.0119228196350782	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12170.080304240348
110000	-13908.763314598471	-1779.2396388075624	-12129.523675790908	0.008221307691241199	0.008221307691241094	0.0396612000522561	0.9213721167499643	0.24902298904640693	0.5000014907025739	1.1429782362791776	0.18114761556475764	0.2001828602200095	2.1581166948395554	2.497406741115767	1.960208601003877	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12129.523675790908
120000	-13906.461329557691	-1831.3831899447725	-12075.078139612919	0.008477783560480049	0.008477783560480068	0.05696192302898218	0.6143172380470766	0.17962111960566068	0.4437594376448162	0.6831046893189945	0.13863056748091016	0.18928699210510525	1.3739261781016698	1.6249581130533999	1.3899186541912343	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12075.078139612919
130000	-13909.220630226262	-1825.3018555351775	-12083.918774691085	0.008441852142142423	0.008441852142142428	0.019518403153582987	0.7818826378697864	0.3058851519536642	0.48537573999427003	0.9223128694277455	0.15353177216597896	0.1841647877730992	1.6830566440492787	2.0347791189454814	1.7898446758228275	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12083.918774691085
140000	-13910.829664939181	-1786.188176717532	-12124.641488221649	0.008258427711492381	0.008258427711492372	0.04998106730807752	0.8591138474147562	0.20127644276829051	0.5426732328406455	0.9390997438679924	0.16965287245728128	0.23154925412782873	1.7588509474017004	2.0387724703825865	2.0041313244607672	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12124.641488221649
150000	-13912.16998949781	-1810.183148555556	-12101.986840942254	0.008384311741543572	0.00838431174154355	0.017442636984297665	0.511790728047196	0.0984302118634148	0.36648864827248695	0.5593708244487242	0.1561249804312924	0.1042162077372478	1.1421919388116584	1.4376486029574695	1.2542898592623162	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12101.986840942254
160000	-13909.58036458557	-1761.9220685463397	-12147.65829603923	0.008136876551581828	0.008136876551581778	0.05662714503312482	0.9538845100602328	0.2806126782901751	0.6928149309805283	1.195034573001549	0.214762696183885	0.19968259090884177	2.1607353806079934	2.7714231377318157	2.211386216184943	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12147.65829603923
170000	-13912.754841590195	-1763.917929291501	-12148.836912298693	0.008129300742961311	0.008129300742961301	0.08202379703672073	1.3647631362307813	0.36280087826480484	0.8115905508248589	1.567337079168451	0.32050009377357197	0.2593129213483989	2.927316895391359	3.688644606439348	2.981978672866335	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12148.836912298693
180000	-13909.746442838032	-1812.9993245588041	-12096.747118279227	0.008380765051500552	0.008380765051500493	0.10293851588987825	0.8622454326292702	0.23299457227499928	0.6019617945184146	1.0409867304918774	0.14111557151866214	0.21934206056317201	1.8461337371807927	2.3364882497823007	1.8446705321789414	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12096.747118279227
190000	-13910.199686811851	-1783.7319588372195	-12126.467727974632	0.008245705932501568	0.008245705932501592	0.0757329975367052	0.820405218712651	0.20873109048339264	0.5295413700486444	0.9762020490361221	0.1852507180590824	0.16501384453208895	1.8562843137874405	2.425549218923334	1.8391441792626608	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12126.467727974632
